mode,path,sample_idx,status,decision,e2e_ms,arbitration_ms,total_ms
mcpd,allow,0,ok,ALLOW,3.228,0.051,2.685
mcpd,allow,1,ok,ALLOW,4.651,0.067,3.513
mcpd,allow,2,ok,ALLOW,3.557,0.062,3.148
mcpd,allow,3,ok,ALLOW,3.099,0.056,2.847
mcpd,allow,4,ok,ALLOW,4.366,0.077,1.849
mcpd,allow,5,ok,ALLOW,2.509,0.053,2.145
mcpd,allow,6,ok,ALLOW,2.613,0.063,2.36
mcpd,allow,7,ok,ALLOW,2.61,0.056,2.371
mcpd,allow,8,ok,ALLOW,3.15,0.069,2.586
mcpd,allow,9,ok,ALLOW,3.253,0.05,2.99
mcpd,allow,10,ok,ALLOW,2.916,0.058,2.537
mcpd,allow,11,ok,ALLOW,1.625,0.056,1.341
mcpd,allow,12,ok,ALLOW,1.714,0.046,1.495
mcpd,allow,13,ok,ALLOW,2.448,0.056,2.2
mcpd,allow,14,ok,ALLOW,2.786,0.052,2.529
mcpd,allow,15,ok,ALLOW,2.251,0.056,1.965
mcpd,allow,16,ok,ALLOW,1.433,0.04,1.219
mcpd,allow,17,ok,ALLOW,4.681,0.064,2.421
mcpd,allow,18,ok,ALLOW,1.701,0.06,1.381
mcpd,allow,19,ok,ALLOW,2.616,0.057,1.55
mcpd,allow,20,ok,ALLOW,3.087,0.055,2.803
mcpd,allow,21,ok,ALLOW,1.48,0.047,1.213
mcpd,allow,22,ok,ALLOW,1.341,0.048,1.151
mcpd,allow,23,ok,ALLOW,1.361,0.05,1.158
mcpd,allow,24,ok,ALLOW,4.41,0.066,2.53
mcpd,allow,25,ok,ALLOW,5.148,0.199,4.057
mcpd,allow,26,ok,ALLOW,3.102,0.074,1.936
mcpd,allow,27,ok,ALLOW,5.81,0.073,4.834
mcpd,allow,28,ok,ALLOW,1.817,0.061,1.525
mcpd,allow,29,ok,ALLOW,1.442,0.053,1.208
mcpd,allow,30,ok,ALLOW,1.456,0.039,1.259
mcpd,allow,31,ok,ALLOW,2.088,0.04,1.877
mcpd,allow,32,ok,ALLOW,3.721,0.056,3.253
mcpd,allow,33,ok,ALLOW,3.2,0.078,2.651
mcpd,allow,34,ok,ALLOW,2.306,0.055,1.199
mcpd,allow,35,ok,ALLOW,1.433,0.049,1.202
mcpd,allow,36,ok,ALLOW,1.613,0.044,1.416
mcpd,allow,37,ok,ALLOW,2.059,0.04,1.905
mcpd,allow,38,ok,ALLOW,2.001,0.038,1.826
mcpd,allow,39,ok,ALLOW,2.563,0.04,2.371
mcpd,allow,40,ok,ALLOW,2.948,0.055,2.678
mcpd,allow,41,ok,ALLOW,4.871,0.067,2.256
mcpd,allow,42,ok,ALLOW,4.169,0.07,3.191
mcpd,allow,43,ok,ALLOW,2.517,0.059,2.184
mcpd,allow,44,ok,ALLOW,2.929,0.053,1.575
mcpd,allow,45,ok,ALLOW,3.288,0.243,1.831
mcpd,allow,46,ok,ALLOW,2.042,0.059,1.204
mcpd,allow,47,ok,ALLOW,2.276,0.043,1.974
mcpd,allow,48,ok,ALLOW,1.323,0.044,1.13
mcpd,allow,49,ok,ALLOW,3.612,0.051,3.341
mcpd,allow,50,ok,ALLOW,1.922,0.046,1.65
mcpd,allow,51,ok,ALLOW,2.11,0.06,1.883
mcpd,allow,52,ok,ALLOW,2.632,0.048,2.438
mcpd,allow,53,ok,ALLOW,1.29,0.056,1.108
mcpd,allow,54,ok,ALLOW,1.684,0.057,1.535
mcpd,allow,55,ok,ALLOW,2.805,0.219,2.591
mcpd,allow,56,ok,ALLOW,2.881,0.249,2.51
mcpd,allow,57,ok,ALLOW,3.131,0.078,1.73
mcpd,allow,58,ok,ALLOW,2.472,0.044,1.893
mcpd,allow,59,ok,ALLOW,3.587,0.051,3.259
mcpd,deny,0,error,DENY,0.969,0.052,0.675
mcpd,deny,1,error,DENY,0.769,0.085,0.577
mcpd,deny,2,error,DENY,1.047,0.044,0.55
mcpd,deny,3,error,DENY,2.89,0.043,0.512
mcpd,deny,4,error,DENY,1.354,0.591,1.093
mcpd,deny,5,error,DENY,0.713,0.043,0.545
mcpd,deny,6,error,DENY,1.587,0.051,1.088
mcpd,deny,7,error,DENY,0.715,0.042,0.553
mcpd,deny,8,error,DENY,0.746,0.047,0.491
mcpd,deny,9,error,DENY,1.229,0.089,0.693
mcpd,deny,10,error,DENY,1.482,0.077,0.612
mcpd,deny,11,error,DENY,0.751,0.046,0.521
mcpd,deny,12,error,DENY,0.689,0.048,0.533
mcpd,deny,13,error,DENY,1.711,0.048,0.521
mcpd,deny,14,error,DENY,0.69,0.046,0.507
mcpd,deny,15,error,DENY,2.893,0.057,0.564
mcpd,deny,16,error,DENY,0.729,0.055,0.567
mcpd,deny,17,error,DENY,0.668,0.064,0.508
mcpd,deny,18,error,DENY,0.709,0.046,0.562
mcpd,deny,19,error,DENY,2.9,0.063,0.555
mcpd,deny,20,error,DENY,0.712,0.04,0.525
mcpd,deny,21,error,DENY,0.71,0.036,0.534
mcpd,deny,22,error,DENY,0.623,0.033,0.467
mcpd,deny,23,error,DENY,0.753,0.033,0.531
mcpd,deny,24,error,DENY,2.178,0.05,0.531
mcpd,deny,25,error,DENY,1.341,0.056,0.576
mcpd,deny,26,error,DENY,0.731,0.042,0.51
mcpd,deny,27,error,DENY,0.737,0.048,0.553
mcpd,deny,28,error,DENY,1.242,0.043,0.529
mcpd,deny,29,error,DENY,0.756,0.044,0.593
mcpd,deny,30,error,DENY,2.087,0.053,1.904
mcpd,deny,31,error,DENY,0.659,0.035,0.505
mcpd,deny,32,error,DENY,0.615,0.038,0.474
mcpd,deny,33,error,DENY,0.637,0.032,0.473
mcpd,deny,34,error,DENY,2.075,0.036,0.496
mcpd,deny,35,error,DENY,0.628,0.032,0.478
mcpd,deny,36,error,DENY,1.028,0.046,0.511
mcpd,deny,37,error,DENY,1.03,0.063,0.842
mcpd,deny,38,error,DENY,1.27,0.04,1.087
mcpd,deny,39,error,DENY,0.802,0.043,0.609
mcpd,deny,40,error,DENY,1.718,0.049,0.559
mcpd,deny,41,error,DENY,1.602,0.071,0.604
mcpd,deny,42,error,DENY,0.793,0.047,0.591
mcpd,deny,43,error,DENY,2.229,0.062,0.669
mcpd,deny,44,error,DENY,1.93,0.06,0.559
mcpd,deny,45,error,DENY,1.399,0.058,1.201
mcpd,deny,46,error,DENY,1.382,0.047,1.207
mcpd,deny,47,error,DENY,0.952,0.038,0.562
mcpd,deny,48,error,DENY,1.847,0.058,0.567
mcpd,deny,49,error,DENY,1.18,0.058,0.58
mcpd,deny,50,error,DENY,1.551,0.043,0.717
mcpd,deny,51,error,DENY,0.702,0.05,0.534
mcpd,deny,52,error,DENY,0.845,0.069,0.655
mcpd,deny,53,error,DENY,0.923,0.053,0.646
mcpd,deny,54,error,DENY,1.388,0.047,0.535
mcpd,deny,55,error,DENY,0.66,0.037,0.486
mcpd,deny,56,error,DENY,1.519,0.558,0.996
mcpd,deny,57,error,DENY,0.726,0.053,0.549
mcpd,deny,58,error,DENY,1.07,0.039,0.528
mcpd,deny,59,error,DENY,2.012,0.053,1.786
mcpd,defer,0,error,DEFER,0.841,0.082,0.593
mcpd,defer,1,error,DEFER,0.83,0.056,0.533
mcpd,defer,2,error,DEFER,1.346,0.064,1.127
mcpd,defer,3,error,DEFER,0.764,0.053,0.523
mcpd,defer,4,error,DEFER,2.87,0.064,0.566
mcpd,defer,5,error,DEFER,3.35,0.072,0.628
mcpd,defer,6,error,DEFER,0.826,0.055,0.628
mcpd,defer,7,error,DEFER,0.788,0.047,0.557
mcpd,defer,8,error,DEFER,0.705,0.044,0.525
mcpd,defer,9,error,DEFER,2.745,0.096,0.61
mcpd,defer,10,error,DEFER,0.785,0.052,0.539
mcpd,defer,11,error,DEFER,0.694,0.043,0.499
mcpd,defer,12,error,DEFER,1.065,0.066,0.591
mcpd,defer,13,error,DEFER,0.988,0.074,0.792
mcpd,defer,14,error,DEFER,0.741,0.046,0.577
mcpd,defer,15,error,DEFER,0.788,0.058,0.605
mcpd,defer,16,error,DEFER,0.722,0.053,0.524
mcpd,defer,17,error,DEFER,2.301,0.167,0.793
mcpd,defer,18,error,DEFER,3.455,0.073,1.499
mcpd,defer,19,error,DEFER,0.818,0.058,0.593
mcpd,defer,20,error,DEFER,0.705,0.047,0.522
mcpd,defer,21,error,DEFER,0.724,0.048,0.527
mcpd,defer,22,error,DEFER,0.761,0.043,0.559
mcpd,defer,23,error,DEFER,1.543,0.204,0.681
mcpd,defer,24,error,DEFER,0.775,0.047,0.516
mcpd,defer,25,error,DEFER,0.78,0.062,0.572
mcpd,defer,26,error,DEFER,0.946,0.054,0.505
mcpd,defer,27,error,DEFER,0.891,0.042,0.546
mcpd,defer,28,error,DEFER,0.708,0.041,0.505
mcpd,defer,29,error,DEFER,0.934,0.055,0.548
mcpd,defer,30,error,DEFER,0.715,0.068,0.545
mcpd,defer,31,error,DEFER,1.018,0.096,0.793
mcpd,defer,32,error,DEFER,1.24,0.065,0.845
mcpd,defer,33,error,DEFER,1.745,0.077,1.366
mcpd,defer,34,error,DEFER,1.052,0.073,0.766
mcpd,defer,35,error,DEFER,3.617,0.071,0.622
mcpd,defer,36,error,DEFER,1.152,0.057,0.76
mcpd,defer,37,error,DEFER,1.457,0.063,0.857
mcpd,defer,38,error,DEFER,0.813,0.062,0.588
mcpd,defer,39,error,DEFER,0.889,0.071,0.635
mcpd,defer,40,error,DEFER,1.926,0.047,0.534
mcpd,defer,41,error,DEFER,0.873,0.062,0.6
mcpd,defer,42,error,DEFER,0.755,0.05,0.582
mcpd,defer,43,error,DEFER,0.854,0.051,0.595
mcpd,defer,44,error,DEFER,0.872,0.044,0.662
mcpd,defer,45,error,DEFER,0.765,0.04,0.582
mcpd,defer,46,error,DEFER,1.273,0.051,0.843
mcpd,defer,47,error,DEFER,0.803,0.069,0.574
mcpd,defer,48,error,DEFER,0.894,0.049,0.698
mcpd,defer,49,error,DEFER,0.867,0.041,0.476
mcpd,defer,50,error,DEFER,0.651,0.04,0.477
mcpd,defer,51,error,DEFER,0.633,0.038,0.491
mcpd,defer,52,error,DEFER,0.834,0.051,0.628
mcpd,defer,53,error,DEFER,2.778,0.046,0.582
mcpd,defer,54,error,DEFER,0.771,0.055,0.542
mcpd,defer,55,error,DEFER,0.793,0.06,0.524
mcpd,defer,56,error,DEFER,0.868,0.048,0.674
mcpd,defer,57,error,DEFER,0.657,0.059,0.498
mcpd,defer,58,error,DEFER,0.823,0.054,0.653
mcpd,defer,59,error,DEFER,0.659,0.039,0.48
userspace_semantic_plane,allow,0,ok,ALLOW,3.274,0.016,2.982
userspace_semantic_plane,allow,1,ok,ALLOW,1.434,0.009,1.215
userspace_semantic_plane,allow,2,ok,ALLOW,2.764,0.007,2.009
userspace_semantic_plane,allow,3,ok,ALLOW,2.209,0.009,1.759
userspace_semantic_plane,allow,4,ok,ALLOW,2.866,0.006,2.659
userspace_semantic_plane,allow,5,ok,ALLOW,1.415,0.006,1.205
userspace_semantic_plane,allow,6,ok,ALLOW,1.286,0.006,1.05
userspace_semantic_plane,allow,7,ok,ALLOW,1.289,0.005,1.11
userspace_semantic_plane,allow,8,ok,ALLOW,1.222,0.005,1.042
userspace_semantic_plane,allow,9,ok,ALLOW,1.896,0.005,1.665
userspace_semantic_plane,allow,10,ok,ALLOW,1.404,0.005,1.187
userspace_semantic_plane,allow,11,ok,ALLOW,6.077,0.014,2.785
userspace_semantic_plane,allow,12,ok,ALLOW,4.68,0.006,4.327
userspace_semantic_plane,allow,13,ok,ALLOW,1.389,0.007,1.162
userspace_semantic_plane,allow,14,ok,ALLOW,1.258,0.006,1.061
userspace_semantic_plane,allow,15,ok,ALLOW,2.496,0.006,1.197
userspace_semantic_plane,allow,16,ok,ALLOW,3.919,0.007,3.611
userspace_semantic_plane,allow,17,ok,ALLOW,1.373,0.006,1.168
userspace_semantic_plane,allow,18,ok,ALLOW,1.238,0.005,1.088
userspace_semantic_plane,allow,19,ok,ALLOW,1.163,0.005,1.022
userspace_semantic_plane,allow,20,ok,ALLOW,2.7,0.006,1.198
userspace_semantic_plane,allow,21,ok,ALLOW,2.542,0.006,2.293
userspace_semantic_plane,allow,22,ok,ALLOW,1.462,0.007,1.225
userspace_semantic_plane,allow,23,ok,ALLOW,1.281,0.006,1.087
userspace_semantic_plane,allow,24,ok,ALLOW,2.063,0.005,1.837
userspace_semantic_plane,allow,25,ok,ALLOW,1.242,0.005,1.029
userspace_semantic_plane,allow,26,ok,ALLOW,4.274,0.007,1.509
userspace_semantic_plane,allow,27,ok,ALLOW,1.122,0.006,0.961
userspace_semantic_plane,allow,28,ok,ALLOW,1.29,0.006,1.134
userspace_semantic_plane,allow,29,ok,ALLOW,1.168,0.005,1.04
userspace_semantic_plane,allow,30,ok,ALLOW,1.53,0.004,1.414
userspace_semantic_plane,allow,31,ok,ALLOW,2.738,0.005,2.612
userspace_semantic_plane,allow,32,ok,ALLOW,1.22,0.006,1.03
userspace_semantic_plane,allow,33,ok,ALLOW,2.096,0.005,1.907
userspace_semantic_plane,allow,34,ok,ALLOW,1.621,0.006,1.384
userspace_semantic_plane,allow,35,ok,ALLOW,1.979,0.006,1.737
userspace_semantic_plane,allow,36,ok,ALLOW,1.52,0.006,1.32
userspace_semantic_plane,allow,37,ok,ALLOW,2.035,0.006,1.753
userspace_semantic_plane,allow,38,ok,ALLOW,1.476,0.005,1.028
userspace_semantic_plane,allow,39,ok,ALLOW,2.57,0.007,1.56
userspace_semantic_plane,allow,40,ok,ALLOW,1.936,0.006,1.646
userspace_semantic_plane,allow,41,ok,ALLOW,2.959,0.007,1.316
userspace_semantic_plane,allow,42,ok,ALLOW,1.716,0.007,1.448
userspace_semantic_plane,allow,43,ok,ALLOW,3.134,0.006,2.827
userspace_semantic_plane,allow,44,ok,ALLOW,1.422,0.006,1.18
userspace_semantic_plane,allow,45,ok,ALLOW,1.302,0.006,1.145
userspace_semantic_plane,allow,46,ok,ALLOW,2.424,0.006,1.522
userspace_semantic_plane,allow,47,ok,ALLOW,6.676,0.009,4.166
userspace_semantic_plane,allow,48,ok,ALLOW,1.52,0.007,1.167
userspace_semantic_plane,allow,49,ok,ALLOW,2.904,0.006,2.7
userspace_semantic_plane,allow,50,ok,ALLOW,2.056,0.008,1.794
userspace_semantic_plane,allow,51,ok,ALLOW,4.26,0.007,2.436
userspace_semantic_plane,allow,52,ok,ALLOW,1.348,0.006,1.146
userspace_semantic_plane,allow,53,ok,ALLOW,1.332,0.006,1.113
userspace_semantic_plane,allow,54,ok,ALLOW,1.682,0.005,1.535
userspace_semantic_plane,allow,55,ok,ALLOW,3.541,0.006,3.088
userspace_semantic_plane,allow,56,ok,ALLOW,3.768,0.006,3.368
userspace_semantic_plane,allow,57,ok,ALLOW,1.349,0.006,1.164
userspace_semantic_plane,allow,58,ok,ALLOW,1.279,0.006,1.067
userspace_semantic_plane,allow,59,ok,ALLOW,2.62,0.005,2.419
userspace_semantic_plane,deny,0,error,DENY,0.794,0.007,0.45
userspace_semantic_plane,deny,1,error,DENY,0.608,0.007,0.45
userspace_semantic_plane,deny,2,error,DENY,2.639,0.006,2.527
userspace_semantic_plane,deny,3,error,DENY,0.588,0.005,0.429
userspace_semantic_plane,deny,4,error,DENY,0.624,0.005,0.433
userspace_semantic_plane,deny,5,error,DENY,0.687,0.007,0.482
userspace_semantic_plane,deny,6,error,DENY,0.719,0.006,0.443
userspace_semantic_plane,deny,7,error,DENY,2.321,0.006,0.536
userspace_semantic_plane,deny,8,error,DENY,1.595,0.006,0.528
userspace_semantic_plane,deny,9,error,DENY,0.627,0.006,0.469
userspace_semantic_plane,deny,10,error,DENY,0.556,0.005,0.439
userspace_semantic_plane,deny,11,error,DENY,0.607,0.006,0.448
userspace_semantic_plane,deny,12,error,DENY,0.649,0.005,0.483
userspace_semantic_plane,deny,13,error,DENY,0.641,0.006,0.455
userspace_semantic_plane,deny,14,error,DENY,0.612,0.006,0.45
userspace_semantic_plane,deny,15,error,DENY,0.556,0.013,0.424
userspace_semantic_plane,deny,16,error,DENY,0.555,0.005,0.428
userspace_semantic_plane,deny,17,error,DENY,0.549,0.005,0.438
userspace_semantic_plane,deny,18,error,DENY,0.547,0.005,0.423
userspace_semantic_plane,deny,19,error,DENY,0.742,0.006,0.45
userspace_semantic_plane,deny,20,error,DENY,0.58,0.012,0.44
userspace_semantic_plane,deny,21,error,DENY,0.529,0.005,0.413
userspace_semantic_plane,deny,22,error,DENY,0.584,0.006,0.45
userspace_semantic_plane,deny,23,error,DENY,0.599,0.006,0.47
userspace_semantic_plane,deny,24,error,DENY,0.531,0.005,0.42
userspace_semantic_plane,deny,25,error,DENY,0.568,0.005,0.412
userspace_semantic_plane,deny,26,error,DENY,1.026,0.006,0.588
userspace_semantic_plane,deny,27,error,DENY,1.158,0.014,0.79
userspace_semantic_plane,deny,28,error,DENY,0.612,0.006,0.464
userspace_semantic_plane,deny,29,error,DENY,0.581,0.006,0.452
userspace_semantic_plane,deny,30,error,DENY,0.537,0.005,0.414
userspace_semantic_plane,deny,31,error,DENY,0.612,0.005,0.486
userspace_semantic_plane,deny,32,error,DENY,0.539,0.005,0.41
userspace_semantic_plane,deny,33,error,DENY,0.579,0.005,0.416
userspace_semantic_plane,deny,34,error,DENY,0.521,0.005,0.401
userspace_semantic_plane,deny,35,error,DENY,0.506,0.005,0.391
userspace_semantic_plane,deny,36,error,DENY,0.533,0.005,0.422
userspace_semantic_plane,deny,37,error,DENY,0.519,0.005,0.403
userspace_semantic_plane,deny,38,error,DENY,0.616,0.005,0.511
userspace_semantic_plane,deny,39,error,DENY,0.534,0.005,0.422
userspace_semantic_plane,deny,40,error,DENY,0.571,0.005,0.465
userspace_semantic_plane,deny,41,error,DENY,0.513,0.005,0.395
userspace_semantic_plane,deny,42,error,DENY,0.554,0.005,0.45
userspace_semantic_plane,deny,43,error,DENY,0.63,0.007,0.492
userspace_semantic_plane,deny,44,error,DENY,0.706,0.005,0.446
userspace_semantic_plane,deny,45,error,DENY,0.563,0.005,0.449
userspace_semantic_plane,deny,46,error,DENY,0.534,0.005,0.412
userspace_semantic_plane,deny,47,error,DENY,0.573,0.005,0.453
userspace_semantic_plane,deny,48,error,DENY,0.683,0.005,0.43
userspace_semantic_plane,deny,49,error,DENY,1.186,0.006,0.651
userspace_semantic_plane,deny,50,error,DENY,0.743,0.006,0.444
userspace_semantic_plane,deny,51,error,DENY,0.616,0.005,0.441
userspace_semantic_plane,deny,52,error,DENY,0.823,0.005,0.454
userspace_semantic_plane,deny,53,error,DENY,0.617,0.005,0.469
userspace_semantic_plane,deny,54,error,DENY,0.837,0.005,0.671
userspace_semantic_plane,deny,55,error,DENY,1.566,0.006,0.442
userspace_semantic_plane,deny,56,error,DENY,1.053,0.005,0.901
userspace_semantic_plane,deny,57,error,DENY,0.656,0.007,0.487
userspace_semantic_plane,deny,58,error,DENY,0.62,0.005,0.452
userspace_semantic_plane,deny,59,error,DENY,0.668,0.006,0.473
userspace_semantic_plane,defer,0,error,DEFER,0.66,0.012,0.51
userspace_semantic_plane,defer,1,error,DEFER,0.581,0.009,0.427
userspace_semantic_plane,defer,2,error,DEFER,0.661,0.008,0.514
userspace_semantic_plane,defer,3,error,DEFER,0.757,0.009,0.604
userspace_semantic_plane,defer,4,error,DEFER,2.729,0.019,2.477
userspace_semantic_plane,defer,5,error,DEFER,0.968,0.069,0.757
userspace_semantic_plane,defer,6,error,DEFER,1.635,0.011,0.48
userspace_semantic_plane,defer,7,error,DEFER,0.752,0.008,0.477
userspace_semantic_plane,defer,8,error,DEFER,0.575,0.011,0.45
userspace_semantic_plane,defer,9,error,DEFER,0.535,0.008,0.417
userspace_semantic_plane,defer,10,error,DEFER,0.812,0.009,0.473
userspace_semantic_plane,defer,11,error,DEFER,0.685,0.009,0.488
userspace_semantic_plane,defer,12,error,DEFER,1.105,0.01,0.793
userspace_semantic_plane,defer,13,error,DEFER,0.639,0.009,0.45
userspace_semantic_plane,defer,14,error,DEFER,0.6,0.008,0.454
userspace_semantic_plane,defer,15,error,DEFER,0.666,0.021,0.514
userspace_semantic_plane,defer,16,error,DEFER,1.439,0.009,0.489
userspace_semantic_plane,defer,17,error,DEFER,0.612,0.008,0.475
userspace_semantic_plane,defer,18,error,DEFER,0.555,0.007,0.416
userspace_semantic_plane,defer,19,error,DEFER,0.515,0.008,0.414
userspace_semantic_plane,defer,20,error,DEFER,0.648,0.007,0.404
userspace_semantic_plane,defer,21,error,DEFER,2.781,0.01,0.494
userspace_semantic_plane,defer,22,error,DEFER,0.647,0.014,0.496
userspace_semantic_plane,defer,23,error,DEFER,1.654,0.011,0.564
userspace_semantic_plane,defer,24,error,DEFER,0.635,0.009,0.466
userspace_semantic_plane,defer,25,error,DEFER,0.564,0.009,0.423
userspace_semantic_plane,defer,26,error,DEFER,0.548,0.009,0.418
userspace_semantic_plane,defer,27,error,DEFER,0.633,0.008,0.49
userspace_semantic_plane,defer,28,error,DEFER,0.734,0.008,0.425
userspace_semantic_plane,defer,29,error,DEFER,0.565,0.009,0.411
userspace_semantic_plane,defer,30,error,DEFER,0.676,0.011,0.484
userspace_semantic_plane,defer,31,error,DEFER,0.863,0.01,0.479
userspace_semantic_plane,defer,32,error,DEFER,0.525,0.009,0.418
userspace_semantic_plane,defer,33,error,DEFER,0.678,0.01,0.505
userspace_semantic_plane,defer,34,error,DEFER,2.65,0.009,0.456
userspace_semantic_plane,defer,35,error,DEFER,0.706,0.012,0.485
userspace_semantic_plane,defer,36,error,DEFER,0.645,0.009,0.509
userspace_semantic_plane,defer,37,error,DEFER,0.619,0.009,0.471
userspace_semantic_plane,defer,38,error,DEFER,0.543,0.008,0.406
userspace_semantic_plane,defer,39,error,DEFER,0.588,0.009,0.454
userspace_semantic_plane,defer,40,error,DEFER,0.652,0.012,0.513
userspace_semantic_plane,defer,41,error,DEFER,5.61,0.023,4.253
userspace_semantic_plane,defer,42,error,DEFER,0.79,0.017,0.573
userspace_semantic_plane,defer,43,error,DEFER,0.89,0.013,0.665
userspace_semantic_plane,defer,44,error,DEFER,0.75,0.014,0.613
userspace_semantic_plane,defer,45,error,DEFER,0.766,0.01,0.57
userspace_semantic_plane,defer,46,error,DEFER,0.859,0.011,0.479
userspace_semantic_plane,defer,47,error,DEFER,1.568,0.012,0.519
userspace_semantic_plane,defer,48,error,DEFER,0.761,0.011,0.502
userspace_semantic_plane,defer,49,error,DEFER,1.479,0.011,0.423
userspace_semantic_plane,defer,50,error,DEFER,0.698,0.013,0.526
userspace_semantic_plane,defer,51,error,DEFER,0.589,0.01,0.44
userspace_semantic_plane,defer,52,error,DEFER,0.637,0.01,0.433
userspace_semantic_plane,defer,53,error,DEFER,0.854,0.01,0.575
userspace_semantic_plane,defer,54,error,DEFER,0.714,0.01,0.419
userspace_semantic_plane,defer,55,error,DEFER,0.7,0.01,0.441
userspace_semantic_plane,defer,56,error,DEFER,1.325,0.01,0.434
userspace_semantic_plane,defer,57,error,DEFER,0.567,0.013,0.438
userspace_semantic_plane,defer,58,error,DEFER,0.516,0.01,0.399
userspace_semantic_plane,defer,59,error,DEFER,0.656,0.018,0.478
