mode,path,sample_idx,status,decision,e2e_ms,arbitration_ms,total_ms
mcpd,allow,0,ok,ALLOW,1.61,0.038,1.394
mcpd,allow,1,ok,ALLOW,1.31,0.043,1.113
mcpd,allow,2,ok,ALLOW,1.195,0.045,1.003
mcpd,allow,3,ok,ALLOW,1.479,0.048,1.292
mcpd,allow,4,ok,ALLOW,1.461,0.037,1.246
mcpd,allow,5,ok,ALLOW,3.976,0.083,2.244
mcpd,allow,6,ok,ALLOW,1.543,0.049,1.209
mcpd,allow,7,ok,ALLOW,1.575,0.056,1.298
mcpd,allow,8,ok,ALLOW,1.375,0.044,1.143
mcpd,allow,9,ok,ALLOW,1.448,0.055,1.205
mcpd,allow,10,ok,ALLOW,1.434,0.044,1.239
mcpd,allow,11,ok,ALLOW,1.278,0.04,1.063
mcpd,allow,12,ok,ALLOW,1.288,0.045,1.095
mcpd,allow,13,ok,ALLOW,1.524,0.04,1.087
mcpd,allow,14,ok,ALLOW,1.403,0.042,1.19
mcpd,allow,15,ok,ALLOW,7.666,0.075,4.753
mcpd,allow,16,ok,ALLOW,1.378,0.044,1.156
mcpd,allow,17,ok,ALLOW,1.29,0.05,1.072
mcpd,allow,18,ok,ALLOW,3.084,0.049,2.668
mcpd,allow,19,ok,ALLOW,2.507,0.054,2.079
mcpd,allow,20,ok,ALLOW,3.25,0.06,2.725
mcpd,allow,21,ok,ALLOW,2.618,0.064,2.26
mcpd,allow,22,ok,ALLOW,2.164,0.06,1.882
mcpd,allow,23,ok,ALLOW,2.08,0.048,1.684
mcpd,allow,24,ok,ALLOW,1.535,0.052,1.248
mcpd,allow,25,ok,ALLOW,2.215,0.07,1.897
mcpd,allow,26,ok,ALLOW,3.028,0.045,2.784
mcpd,allow,27,ok,ALLOW,2.84,0.098,2.547
mcpd,allow,28,ok,ALLOW,1.536,0.045,1.314
mcpd,allow,29,ok,ALLOW,1.872,0.044,1.668
mcpd,allow,30,ok,ALLOW,2.89,0.052,2.48
mcpd,allow,31,ok,ALLOW,3.029,0.059,2.615
mcpd,allow,32,ok,ALLOW,2.2,0.05,1.789
mcpd,allow,33,ok,ALLOW,4.343,0.067,3.548
mcpd,allow,34,ok,ALLOW,2.155,0.062,1.537
mcpd,allow,35,ok,ALLOW,1.689,0.056,1.372
mcpd,allow,36,ok,ALLOW,1.407,0.046,1.138
mcpd,allow,37,ok,ALLOW,1.921,0.043,1.688
mcpd,allow,38,ok,ALLOW,1.446,0.045,1.178
mcpd,allow,39,ok,ALLOW,1.817,0.046,1.392
mcpd,deny,0,error,DENY,0.803,0.043,0.597
mcpd,deny,1,error,DENY,0.892,0.034,0.709
mcpd,deny,2,error,DENY,2.035,0.1,1.694
mcpd,deny,3,error,DENY,1.566,0.06,0.98
mcpd,deny,4,error,DENY,1.65,0.047,0.601
mcpd,deny,5,error,DENY,0.915,0.049,0.715
mcpd,deny,6,error,DENY,0.924,0.044,0.694
mcpd,deny,7,error,DENY,0.751,0.04,0.538
mcpd,deny,8,error,DENY,0.689,0.044,0.494
mcpd,deny,9,error,DENY,0.951,0.043,0.679
mcpd,deny,10,error,DENY,1.052,0.053,0.825
mcpd,deny,11,error,DENY,0.986,0.044,0.734
mcpd,deny,12,error,DENY,0.935,0.067,0.704
mcpd,deny,13,error,DENY,0.825,0.055,0.543
mcpd,deny,14,error,DENY,0.689,0.037,0.504
mcpd,deny,15,error,DENY,0.909,0.048,0.665
mcpd,deny,16,error,DENY,0.989,0.041,0.757
mcpd,deny,17,error,DENY,0.769,0.041,0.489
mcpd,deny,18,error,DENY,1.995,0.067,1.542
mcpd,deny,19,error,DENY,1.085,0.058,0.711
mcpd,deny,20,error,DENY,0.736,0.047,0.517
mcpd,deny,21,error,DENY,0.792,0.041,0.49
mcpd,deny,22,error,DENY,0.937,0.039,0.734
mcpd,deny,23,error,DENY,0.97,0.052,0.696
mcpd,deny,24,error,DENY,0.854,0.041,0.644
mcpd,deny,25,error,DENY,1.126,0.05,0.743
mcpd,deny,26,error,DENY,1.007,0.046,0.592
mcpd,deny,27,error,DENY,0.984,0.052,0.709
mcpd,deny,28,error,DENY,1.017,0.163,0.828
mcpd,deny,29,error,DENY,1.137,0.051,0.646
mcpd,deny,30,error,DENY,0.967,0.097,0.71
mcpd,deny,31,error,DENY,1.322,0.055,0.999
mcpd,deny,32,error,DENY,3.226,0.103,2.612
mcpd,deny,33,error,DENY,3.196,2.241,2.858
mcpd,deny,34,error,DENY,1.047,0.055,0.753
mcpd,deny,35,error,DENY,21.688,0.059,0.855
mcpd,deny,36,error,DENY,2.422,0.11,1.107
mcpd,deny,37,error,DENY,6.256,4.656,5.386
mcpd,deny,38,error,DENY,2.379,0.171,1.488
mcpd,deny,39,error,DENY,1.145,0.051,0.818
mcpd,defer,0,error,DEFER,1.188,0.065,0.895
mcpd,defer,1,error,DEFER,0.984,0.057,0.578
mcpd,defer,2,error,DEFER,0.991,0.053,0.764
mcpd,defer,3,error,DEFER,0.879,0.063,0.631
mcpd,defer,4,error,DEFER,1.236,0.263,0.772
mcpd,defer,5,error,DEFER,1.041,0.053,0.704
mcpd,defer,6,error,DEFER,1.189,0.087,0.616
mcpd,defer,7,error,DEFER,2.418,0.262,1.863
mcpd,defer,8,error,DEFER,2.134,0.071,1.001
mcpd,defer,9,error,DEFER,0.998,0.063,0.724
mcpd,defer,10,error,DEFER,0.853,0.05,0.601
mcpd,defer,11,error,DEFER,0.934,0.057,0.709
mcpd,defer,12,error,DEFER,0.907,0.05,0.715
mcpd,defer,13,error,DEFER,0.716,0.041,0.565
mcpd,defer,14,error,DEFER,0.706,0.053,0.525
mcpd,defer,15,error,DEFER,0.977,0.055,0.779
mcpd,defer,16,error,DEFER,1.011,0.057,0.783
mcpd,defer,17,error,DEFER,1.317,0.06,1.036
mcpd,defer,18,error,DEFER,0.73,0.043,0.529
mcpd,defer,19,error,DEFER,0.925,0.045,0.691
mcpd,defer,20,error,DEFER,1.031,0.051,0.791
mcpd,defer,21,error,DEFER,0.75,0.04,0.505
mcpd,defer,22,error,DEFER,1.545,0.472,1.284
mcpd,defer,23,error,DEFER,1.645,0.092,0.879
mcpd,defer,24,error,DEFER,4.09,0.087,3.827
mcpd,defer,25,error,DEFER,1.102,0.062,0.795
mcpd,defer,26,error,DEFER,0.626,0.04,0.467
mcpd,defer,27,error,DEFER,1.344,0.066,0.511
mcpd,defer,28,error,DEFER,4.988,0.074,0.887
mcpd,defer,29,error,DEFER,1.67,0.144,1.419
mcpd,defer,30,error,DEFER,1.418,0.084,0.762
mcpd,defer,31,error,DEFER,3.908,0.055,0.926
mcpd,defer,32,error,DEFER,1.217,0.055,0.568
mcpd,defer,33,error,DEFER,0.637,0.044,0.491
