cmd,attr_name,mutation_kind,errno
AGENT_REGISTER,UID,truncate,-14
TOOL_REQUEST,AGENT_EPOCH,bit_flip,-2
LIST_TOOLS,REQ_ID,type_sub,-34
TOOL_REGISTER,TOOL_HASH,truncate,-1
APPROVAL_DECIDE,TICKET_ID,type_sub,-34
LIST_TOOLS,REQ_ID,bit_flip,-22
TOOL_REGISTER,TOOL_ID,type_sub,-14
LIST_TOOLS,REQ_ID,oversize_len,-34
LIST_TOOLS,REQ_ID,bit_flip,-14
TOOL_REQUEST,TOOL_ID,type_sub,-1
LIST_TOOLS,REQ_ID,oversize_len,-34
TOOL_REQUEST,TICKET_ID,bit_flip,-34
TOOL_REGISTER,TOOL_RISK_FLAGS,bit_flip,-22
TOOL_REQUEST,AGENT_BINDING,type_sub,-22
APPROVAL_DECIDE,APPROVAL_TTL_MS,bit_flip,-14
TOOL_REGISTER,TOOL_ID,oversize_len,-1
TOOL_REQUEST,AGENT_BINDING,truncate,-14
RESET_TOOLS,<none>,none,-22
TOOL_COMPLETE,STATUS,type_sub,-22
TOOL_COMPLETE,STATUS,oversize_len,-1
APPROVAL_DECIDE,AGENT_ID,bit_flip,-22
LIST_TOOLS,REQ_ID,type_sub,-34
TOOL_REQUEST,TOOL_HASH,bit_flip,-14
TOOL_COMPLETE,REQ_ID,oversize_len,-14
APPROVAL_DECIDE,AGENT_ID,truncate,-14
NOOP,REQ_ID,truncate,-22
AGENT_REGISTER,UID,type_sub,-2
APPROVAL_DECIDE,AGENT_ID,truncate,-1
TOOL_REQUEST,AGENT_ID,oversize_len,-1
RESET_TOOLS,<none>,none,-14
LIST_TOOLS,REQ_ID,oversize_len,-2
NOOP,REQ_ID,type_sub,-22
AGENT_REGISTER,AGENT_BINDING,type_sub,-22
TOOL_REGISTER,TOOL_NAME,truncate,-1
TOOL_COMPLETE,TOOL_ID,bit_flip,-22
NOOP,REQ_ID,type_sub,-2
AGENT_REGISTER,UID,truncate,-14
RESET_TOOLS,<none>,none,-14
TOOL_COMPLETE,AGENT_ID,oversize_len,-14
TOOL_REGISTER,TOOL_HASH,truncate,-2
TOOL_COMPLETE,TOOL_ID,type_sub,-14
TOOL_COMPLETE,AGENT_ID,truncate,-2
TOOL_COMPLETE,TOOL_ID,truncate,-2
LIST_TOOLS,REQ_ID,truncate,-22
TOOL_REGISTER,TOOL_ID,truncate,-1
LIST_TOOLS,REQ_ID,truncate,-14
AGENT_REGISTER,PID,oversize_len,-34
APPROVAL_DECIDE,APPROVAL_REASON,type_sub,-22
RESET_TOOLS,<none>,none,-14
APPROVAL_DECIDE,AGENT_ID,bit_flip,-34
TOOL_COMPLETE,TOOL_ID,oversize_len,-14
RESET_TOOLS,<none>,none,-34
AGENT_REGISTER,AGENT_BINDING,type_sub,-22
LIST_TOOLS,REQ_ID,bit_flip,-14
LIST_TOOLS,REQ_ID,bit_flip,-14
LIST_TOOLS,REQ_ID,oversize_len,-34
RESET_TOOLS,<none>,none,-22
TOOL_COMPLETE,EXEC_MS,truncate,-1
LIST_TOOLS,REQ_ID,truncate,-1
RESET_TOOLS,<none>,none,-14
RESET_TOOLS,<none>,none,-2
TOOL_REGISTER,TOOL_HASH,oversize_len,-14
TOOL_COMPLETE,REQ_ID,oversize_len,-14
RESET_TOOLS,<none>,none,-1
TOOL_REQUEST,AGENT_ID,type_sub,-22
LIST_TOOLS,REQ_ID,bit_flip,-1
RESET_TOOLS,<none>,none,-14
TOOL_REQUEST,TOOL_HASH,oversize_len,-22
NOOP,REQ_ID,bit_flip,-14
TOOL_REQUEST,AGENT_ID,oversize_len,-2
NOOP,REQ_ID,oversize_len,-14
NOOP,REQ_ID,oversize_len,-2
TOOL_COMPLETE,AGENT_ID,truncate,-1
TOOL_REQUEST,TOOL_ID,oversize_len,-14
LIST_TOOLS,REQ_ID,truncate,-22
TOOL_REQUEST,REQ_ID,truncate,-14
AGENT_REGISTER,AGENT_EPOCH,oversize_len,-34
APPROVAL_DECIDE,AGENT_ID,truncate,-2
RESET_TOOLS,<none>,none,-2
LIST_TOOLS,REQ_ID,truncate,-34
TOOL_COMPLETE,REQ_ID,oversize_len,-14
NOOP,REQ_ID,oversize_len,-1
APPROVAL_DECIDE,APPROVAL_DECISION,type_sub,-2
APPROVAL_DECIDE,TICKET_ID,truncate,-1
NOOP,REQ_ID,type_sub,-34
TOOL_REGISTER,TOOL_RISK_FLAGS,bit_flip,-1
TOOL_REGISTER,TOOL_NAME,bit_flip,-34
RESET_TOOLS,<none>,none,-1
TOOL_REQUEST,TOOL_HASH,type_sub,-1
TOOL_REQUEST,TOOL_HASH,truncate,-14
TOOL_COMPLETE,TOOL_ID,oversize_len,-2
AGENT_REGISTER,AGENT_EPOCH,truncate,-1
TOOL_REQUEST,AGENT_BINDING,type_sub,-14
AGENT_REGISTER,UID,truncate,-22
TOOL_REGISTER,TOOL_RISK_FLAGS,bit_flip,-14
TOOL_REGISTER,TOOL_HASH,oversize_len,-14
APPROVAL_DECIDE,AGENT_ID,oversize_len,-1
LIST_TOOLS,REQ_ID,truncate,-14
NOOP,REQ_ID,type_sub,-14
APPROVAL_DECIDE,APPROVER,truncate,-22
RESET_TOOLS,<none>,none,-14
APPROVAL_DECIDE,APPROVAL_REASON,oversize_len,-14
RESET_TOOLS,<none>,none,-2
AGENT_REGISTER,AGENT_ID,truncate,-2
TOOL_REQUEST,AGENT_ID,oversize_len,-2
