iteration,decision,reason,thread_ms
1,DEFER,approval_ticket_unknown,0.036
2,DEFER,approval_ticket_unknown,0.022
3,DEFER,approval_ticket_unknown,0.017
4,DEFER,approval_ticket_unknown,0.191
5,DEFER,approval_ticket_unknown,0.025
6,DEFER,approval_ticket_unknown,0.013
7,DEFER,approval_ticket_unknown,0.024
8,DEFER,approval_ticket_unknown,0.018
9,DEFER,approval_ticket_unknown,0.015
10,DEFER,approval_ticket_unknown,0.014
11,DEFER,approval_ticket_unknown,0.013
12,DEFER,approval_ticket_unknown,0.014
13,DEFER,approval_ticket_unknown,0.013
14,DEFER,approval_ticket_unknown,0.013
15,DEFER,approval_ticket_unknown,0.012
16,DEFER,approval_ticket_unknown,0.010
17,DENY,hash_mismatch,0.902
18,DENY,hash_mismatch,0.015
19,DENY,hash_mismatch,0.012
20,DENY,hash_mismatch,0.013
21,DENY,hash_mismatch,0.009
22,DENY,hash_mismatch,0.080
23,DENY,hash_mismatch,0.051
24,DENY,hash_mismatch,0.015
25,DENY,hash_mismatch,0.012
26,DENY,hash_mismatch,0.012
27,DENY,hash_mismatch,0.012
28,DENY,hash_mismatch,0.013
29,DENY,hash_mismatch,0.012
30,DENY,hash_mismatch,0.011
31,DENY,hash_mismatch,0.013
32,DENY,hash_mismatch,0.012
33,DENY,hash_mismatch,0.011
34,DENY,hash_mismatch,0.012
35,DENY,hash_mismatch,0.012
36,DENY,hash_mismatch,0.014
37,DENY,hash_mismatch,0.013
38,DENY,hash_mismatch,0.011
39,DENY,hash_mismatch,0.009
40,DENY,hash_mismatch,0.078
41,DENY,hash_mismatch,0.012
42,DENY,hash_mismatch,0.011
43,DENY,hash_mismatch,0.012
44,DENY,hash_mismatch,0.012
45,DENY,hash_mismatch,0.011
46,DENY,hash_mismatch,0.011
47,DENY,hash_mismatch,0.009
48,DENY,hash_mismatch,0.277
49,DENY,hash_mismatch,0.010
50,DENY,hash_mismatch,0.131
51,DENY,hash_mismatch,0.015
52,DENY,hash_mismatch,0.013
53,DENY,hash_mismatch,0.009
54,DENY,hash_mismatch,0.012
55,DENY,hash_mismatch,0.013
56,DENY,hash_mismatch,0.013
57,DENY,hash_mismatch,0.013
58,DENY,hash_mismatch,0.013
59,DENY,hash_mismatch,0.009
60,DENY,hash_mismatch,0.012
61,DENY,hash_mismatch,0.013
62,DENY,hash_mismatch,0.013
63,DENY,hash_mismatch,0.012
64,DENY,hash_mismatch,0.012
65,DENY,hash_mismatch,0.012
66,DENY,hash_mismatch,0.012
67,DENY,hash_mismatch,0.012
68,DENY,hash_mismatch,0.012
69,DENY,hash_mismatch,0.012
70,DENY,hash_mismatch,0.012
71,DENY,hash_mismatch,0.012
72,DENY,hash_mismatch,0.013
73,DENY,hash_mismatch,0.012
74,DENY,hash_mismatch,0.012
75,DENY,hash_mismatch,0.012
76,DENY,hash_mismatch,0.012
77,DENY,hash_mismatch,0.012
78,DENY,hash_mismatch,0.012
79,DENY,hash_mismatch,0.015
80,DENY,hash_mismatch,0.013
81,DENY,hash_mismatch,0.009
82,DENY,hash_mismatch,0.468
