attempt,attacker_uid,sub_case,decision,reason,kernel_errno,latency_ms,outcome
0,1001,blind,DENY,binding_mismatch,0,0.015,blocked
1,1001,guessed,DENY,binding_mismatch,0,0.011,blocked
2,1001,leaked,ALLOW,allow,0,0.009,passed
3,1001,leaked,ALLOW,allow,0,0.008,passed
4,1001,guessed,DENY,binding_mismatch,0,0.008,blocked
5,1001,guessed,DENY,binding_mismatch,0,0.008,blocked
6,1001,blind,DENY,binding_mismatch,0,0.007,blocked
7,1001,leaked,ALLOW,allow,0,0.008,passed
8,1001,blind,DENY,binding_mismatch,0,0.008,blocked
9,1001,blind,DENY,binding_mismatch,0,0.007,blocked
10,1001,guessed,DENY,binding_mismatch,0,0.008,blocked
11,1001,guessed,DENY,binding_mismatch,0,0.008,blocked
12,1001,leaked,ALLOW,allow,0,0.008,passed
13,1001,leaked,ALLOW,allow,0,0.007,passed
14,1001,leaked,ALLOW,allow,0,0.007,passed
15,1001,guessed,DENY,binding_mismatch,0,0.008,blocked
16,1001,blind,DENY,binding_mismatch,0,0.007,blocked
17,1001,guessed,DENY,binding_mismatch,0,0.008,blocked
18,1001,guessed,DENY,binding_mismatch,0,0.008,blocked
19,1001,leaked,ALLOW,allow,0,0.008,passed
20,1001,leaked,ALLOW,allow,0,0.008,passed
21,1001,leaked,ALLOW,allow,0,0.007,passed
22,1001,blind,DENY,binding_mismatch,0,0.007,blocked
23,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
24,1001,guessed,DENY,binding_mismatch,0,0.008,blocked
25,1001,leaked,ALLOW,allow,0,0.007,passed
26,1001,leaked,ALLOW,allow,0,0.008,passed
27,1001,leaked,ALLOW,allow,0,0.007,passed
28,1001,leaked,ALLOW,allow,0,0.007,passed
29,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
30,1001,blind,DENY,binding_mismatch,0,0.007,blocked
31,1001,guessed,DENY,binding_mismatch,0,0.008,blocked
32,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
33,1001,blind,DENY,binding_mismatch,0,0.007,blocked
34,1001,blind,DENY,binding_mismatch,0,0.007,blocked
35,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
36,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
37,1001,blind,DENY,binding_mismatch,0,0.007,blocked
38,1001,blind,DENY,binding_mismatch,0,0.007,blocked
39,1001,leaked,ALLOW,allow,0,0.007,passed
40,1001,blind,DENY,binding_mismatch,0,0.007,blocked
41,1001,leaked,ALLOW,allow,0,0.007,passed
42,1001,blind,DENY,binding_mismatch,0,0.007,blocked
43,1001,leaked,ALLOW,allow,0,0.007,passed
44,1001,leaked,ALLOW,allow,0,0.010,passed
45,1001,blind,DENY,binding_mismatch,0,0.008,blocked
46,1001,blind,DENY,binding_mismatch,0,0.007,blocked
47,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
48,1001,blind,DENY,binding_mismatch,0,0.007,blocked
49,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
50,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
51,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
52,1001,leaked,ALLOW,allow,0,0.007,passed
53,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
54,1001,blind,DENY,binding_mismatch,0,0.007,blocked
55,1001,leaked,ALLOW,allow,0,0.007,passed
56,1001,guessed,DENY,binding_mismatch,0,0.008,blocked
57,1001,leaked,ALLOW,allow,0,0.007,passed
58,1001,blind,DENY,binding_mismatch,0,0.007,blocked
59,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
60,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
61,1001,leaked,ALLOW,allow,0,0.007,passed
62,1001,blind,DENY,binding_mismatch,0,0.007,blocked
63,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
64,1001,blind,DENY,binding_mismatch,0,0.007,blocked
65,1001,blind,DENY,binding_mismatch,0,0.007,blocked
66,1001,leaked,ALLOW,allow,0,0.007,passed
67,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
68,1001,leaked,ALLOW,allow,0,0.007,passed
69,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
70,1001,leaked,ALLOW,allow,0,0.007,passed
71,1001,blind,DENY,binding_mismatch,0,0.007,blocked
72,1001,blind,DENY,binding_mismatch,0,0.007,blocked
73,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
74,1001,blind,DENY,binding_mismatch,0,0.007,blocked
75,1001,leaked,ALLOW,allow,0,0.007,passed
76,1001,leaked,ALLOW,allow,0,0.008,passed
77,1001,guessed,DENY,binding_mismatch,0,0.009,blocked
78,1001,guessed,DENY,binding_mismatch,0,0.010,blocked
79,1001,guessed,DENY,binding_mismatch,0,0.010,blocked
80,1001,blind,DENY,binding_mismatch,0,0.010,blocked
81,1001,leaked,ALLOW,allow,0,0.010,passed
82,1001,guessed,DENY,binding_mismatch,0,0.010,blocked
83,1001,leaked,ALLOW,allow,0,0.010,passed
84,1001,blind,DENY,binding_mismatch,0,0.009,blocked
85,1001,leaked,ALLOW,allow,0,0.010,passed
86,1001,blind,DENY,binding_mismatch,0,0.009,blocked
87,1001,blind,DENY,binding_mismatch,0,0.010,blocked
88,1001,leaked,ALLOW,allow,0,0.007,passed
89,1001,leaked,ALLOW,allow,0,0.007,passed
90,1001,blind,DENY,binding_mismatch,0,0.007,blocked
91,1001,leaked,ALLOW,allow,0,0.007,passed
92,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
93,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
94,1001,leaked,ALLOW,allow,0,0.017,passed
95,1001,guessed,DENY,binding_mismatch,0,0.011,blocked
96,1001,blind,DENY,binding_mismatch,0,0.007,blocked
97,1001,leaked,ALLOW,allow,0,0.008,passed
98,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
99,1001,leaked,ALLOW,allow,0,0.007,passed
100,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
101,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
102,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
