rep,mode,samples,avg_ms,std_ms,ci95_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
0,skip_ticket,10000,0.008708,0.004459,8.7e-05,0.007959,0.010836,0.023625,0.007375,0.11775
0,skip_lookups,10000,0.008992,0.008105,0.000159,0.007917,0.012791,0.029503,0.007458,0.538208
0,skip_hash,10000,0.008463,0.00346,6.8e-05,0.007917,0.009458,0.021917,0.007541,0.116417
0,skip_binding,10000,0.008668,0.004732,9.3e-05,0.007917,0.009833,0.025542,0.007375,0.153459
0,full,10000,0.008564,0.004091,8e-05,0.007958,0.009752,0.022125,0.0075,0.161625
1,full,10000,0.008219,0.002173,4.3e-05,0.007916,0.008875,0.01675,0.00725,0.119042
1,skip_ticket,10000,0.008518,0.005872,0.000115,0.007833,0.010459,0.022375,0.007083,0.279625
1,skip_binding,10000,0.008957,0.008824,0.000173,0.007833,0.01075,0.033336,0.007125,0.504083
1,skip_hash,10000,0.009461,0.026874,0.000527,0.007792,0.012,0.037,0.007042,1.864417
1,skip_lookups,10000,0.008553,0.006413,0.000126,0.007708,0.010333,0.024377,0.007084,0.2095
2,full,10000,0.009095,0.007138,0.00014,0.007708,0.013877,0.039753,0.007166,0.222875
2,skip_binding,10000,0.007818,0.002065,4e-05,0.007416,0.01,0.015167,0.007042,0.079709
2,skip_lookups,10000,0.010491,0.008066,0.000158,0.008041,0.020917,0.033792,0.007208,0.371417
2,skip_hash,10000,0.008356,0.003774,7.4e-05,0.007958,0.009083,0.021083,0.00725,0.241583
2,skip_ticket,10000,0.007818,0.0014,2.7e-05,0.007459,0.010042,0.013084,0.007167,0.048542
3,skip_binding,10000,0.00785,0.001882,3.7e-05,0.007375,0.010458,0.01525,0.007,0.06275
3,skip_ticket,10000,0.007672,0.001667,3.3e-05,0.007375,0.008833,0.013625,0.007084,0.046458
3,full,10000,0.009066,0.078138,0.001532,0.007542,0.009625,0.02125,0.007083,7.769708
3,skip_hash,10000,0.008886,0.005225,0.000102,0.007958,0.012333,0.025709,0.007125,0.175041
3,skip_lookups,10000,0.00876,0.007349,0.000144,0.007833,0.010375,0.028715,0.007166,0.249792
4,skip_lookups,10000,0.007645,0.001348,2.6e-05,0.007334,0.008958,0.012667,0.007041,0.043959
4,skip_ticket,10000,0.00781,0.002498,4.9e-05,0.007458,0.009002,0.013959,0.007125,0.145083
4,full,10000,0.008707,0.025558,0.000501,0.007625,0.01025,0.02125,0.007208,1.514
4,skip_binding,10000,0.008038,0.002775,5.4e-05,0.007625,0.01,0.014958,0.007125,0.105959
4,skip_hash,10000,0.007986,0.002017,4e-05,0.007541,0.010333,0.016335,0.007125,0.049666
5,skip_hash,10000,0.008429,0.00664,0.00013,0.007542,0.010416,0.026044,0.007083,0.298125
5,skip_binding,10000,0.008527,0.00578,0.000113,0.007584,0.010667,0.026042,0.007083,0.19725
5,full,10000,0.00768,0.001441,2.8e-05,0.007416,0.008917,0.012833,0.007083,0.055209
5,skip_ticket,10000,0.007825,0.003403,6.7e-05,0.007375,0.008459,0.014251,0.007125,0.167833
5,skip_lookups,10000,0.007494,0.000995,1.9e-05,0.007292,0.008083,0.011916,0.007042,0.045875
6,skip_lookups,10000,0.007408,0.000767,1.5e-05,0.007291,0.007708,0.011043,0.007042,0.045125
6,full,10000,0.007515,0.002728,5.3e-05,0.007291,0.008041,0.012208,0.006958,0.213792
6,skip_hash,10000,0.007353,0.001235,2.4e-05,0.007208,0.0075,0.011875,0.007,0.048375
6,skip_ticket,10000,0.007432,0.001482,2.9e-05,0.00725,0.008,0.012083,0.007,0.096792
6,skip_binding,10000,0.007427,0.000781,1.5e-05,0.00725,0.008,0.010838,0.007,0.02325
7,skip_lookups,10000,0.007645,0.002173,4.3e-05,0.007334,0.0085,0.012792,0.006959,0.166958
7,skip_hash,10000,0.008169,0.004551,8.9e-05,0.007583,0.010334,0.015292,0.007042,0.21875
7,skip_ticket,10000,0.0078,0.001651,3.2e-05,0.007458,0.01,0.014084,0.007041,0.042334
7,full,10000,0.007692,0.001856,3.6e-05,0.007334,0.009667,0.013961,0.007,0.074459
7,skip_binding,10000,0.007804,0.001808,3.5e-05,0.007458,0.010041,0.014001,0.007,0.048334
8,skip_lookups,10000,0.007805,0.004325,8.5e-05,0.007209,0.009584,0.020833,0.006916,0.229084
8,skip_binding,10000,0.007798,0.002127,4.2e-05,0.007375,0.009958,0.017876,0.006958,0.08975
8,skip_ticket,10000,0.009135,0.060453,0.001185,0.007417,0.01025,0.022458,0.007042,5.676541
8,skip_hash,10000,0.008179,0.010932,0.000214,0.007334,0.009625,0.018084,0.007,0.697667
8,full,10000,0.007389,0.00085,1.7e-05,0.007209,0.00775,0.012083,0.007,0.032458
9,full,10000,0.007504,0.002051,4e-05,0.00725,0.008125,0.012334,0.007,0.127791
9,skip_hash,10000,0.007491,0.001234,2.4e-05,0.00725,0.008125,0.012208,0.007041,0.041458
9,skip_ticket,10000,0.007726,0.002365,4.6e-05,0.007375,0.009044,0.013375,0.007042,0.119709
9,skip_binding,10000,0.007551,0.00139,2.7e-05,0.00725,0.008625,0.0125,0.007041,0.074208
9,skip_lookups,10000,0.007383,0.000974,1.9e-05,0.007208,0.007875,0.012125,0.007,0.033459
