rep,phase,mode,samples,avg_ms,std_ms,ci95_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
0,hash_guard_body,full,10000,0.011106,0.177053,0.00347,0.007917,0.0105,0.024835,0.007125,17.476166
0,hash_guard_body,skip_hash,10000,0.009513,0.078625,0.001541,0.007917,0.010334,0.020625,0.007125,7.790042
0,binding_guard_body,full,10000,0.007941,0.002416,4.7e-05,0.007459,0.009835,0.015958,0.007,0.084959
0,binding_guard_body,skip_binding,10000,0.007933,0.003212,6.3e-05,0.007459,0.00975,0.015833,0.007,0.204833
0,approval_ticket_body,ticket_trigger_full,100,0.009213,0.003211,0.000629,0.008229,0.017456,0.023053,0.008,0.02425
0,approval_ticket_body,ticket_trigger_skip,100,0.007803,0.001217,0.000239,0.007459,0.009261,0.012053,0.007292,0.017292
0,registry+agent_lookup,full,10000,0.008271,0.002694,5.3e-05,0.008041,0.009,0.017041,0.007125,0.154667
0,registry+agent_lookup,skip_lookups,10000,0.00817,0.002336,4.6e-05,0.007958,0.008875,0.01625,0.007166,0.10675
1,registry+agent_lookup,full,10000,0.008269,0.002976,5.8e-05,0.008,0.009125,0.015833,0.007208,0.139333
1,registry+agent_lookup,skip_lookups,10000,0.008153,0.003745,7.3e-05,0.007875,0.008833,0.015376,0.007208,0.241958
1,approval_ticket_body,ticket_trigger_full,100,0.009111,0.001943,0.000381,0.008625,0.011554,0.01962,0.008375,0.023333
1,approval_ticket_body,ticket_trigger_skip,100,0.008664,0.006094,0.001194,0.007875,0.009338,0.013927,0.007625,0.068542
1,hash_guard_body,full,10000,0.008004,0.002864,5.6e-05,0.007667,0.0095,0.01675,0.007041,0.165375
1,hash_guard_body,skip_hash,10000,0.008012,0.003632,7.1e-05,0.007667,0.009458,0.015875,0.007,0.239042
1,binding_guard_body,full,10000,0.007846,0.002009,3.9e-05,0.007458,0.009833,0.013585,0.007,0.108541
1,binding_guard_body,skip_binding,10000,0.007891,0.002574,5e-05,0.007458,0.009916,0.014254,0.007041,0.11825
2,registry+agent_lookup,full,10000,0.00845,0.003789,7.4e-05,0.008,0.009666,0.022375,0.007167,0.129708
2,registry+agent_lookup,skip_lookups,10000,0.008241,0.004097,8e-05,0.007875,0.009,0.0215,0.007208,0.291667
2,hash_guard_body,full,10000,0.008577,0.005126,0.0001,0.008,0.009208,0.022333,0.007416,0.336333
2,hash_guard_body,skip_hash,10000,0.00851,0.003163,6.2e-05,0.008,0.009002,0.022417,0.007375,0.100292
2,binding_guard_body,full,10000,0.008185,0.004502,8.8e-05,0.007792,0.009083,0.019876,0.007125,0.232791
2,binding_guard_body,skip_binding,10000,0.008226,0.003961,7.8e-05,0.007792,0.009291,0.021294,0.007083,0.210792
2,approval_ticket_body,ticket_trigger_full,100,0.009461,0.003837,0.000752,0.008584,0.011752,0.022829,0.008208,0.043042
2,approval_ticket_body,ticket_trigger_skip,100,0.007985,0.001381,0.000271,0.007625,0.009865,0.010716,0.007292,0.01975
3,registry+agent_lookup,full,10000,0.008234,0.00404,7.9e-05,0.007791,0.009083,0.022042,0.007125,0.16775
3,registry+agent_lookup,skip_lookups,10000,0.008074,0.002859,5.6e-05,0.007667,0.008875,0.021667,0.007125,0.133334
3,approval_ticket_body,ticket_trigger_full,100,0.009539,0.004829,0.000947,0.008542,0.014617,0.023625,0.008333,0.052542
3,approval_ticket_body,ticket_trigger_skip,100,0.007662,0.001234,0.000242,0.0075,0.00801,0.00923,0.007291,0.019625
3,hash_guard_body,full,10000,0.00789,0.001581,3.1e-05,0.007625,0.008709,0.01575,0.007041,0.044375
3,hash_guard_body,skip_hash,10000,0.007899,0.001589,3.1e-05,0.007625,0.008791,0.01575,0.007083,0.050375
3,binding_guard_body,full,10000,0.007843,0.001914,3.8e-05,0.007417,0.009083,0.015958,0.007125,0.079083
3,binding_guard_body,skip_binding,10000,0.007874,0.004357,8.5e-05,0.007458,0.008919,0.015917,0.007083,0.367834
4,registry+agent_lookup,full,10000,0.007706,0.002378,4.7e-05,0.007375,0.008669,0.012667,0.007042,0.185375
4,registry+agent_lookup,skip_lookups,10000,0.00765,0.002161,4.2e-05,0.007334,0.008502,0.012458,0.007,0.117958
4,hash_guard_body,full,10000,0.007398,0.001055,2.1e-05,0.007208,0.007919,0.01075,0.006959,0.043292
4,hash_guard_body,skip_hash,10000,0.007433,0.001275,2.5e-05,0.007208,0.008083,0.012125,0.006958,0.035583
4,binding_guard_body,full,10000,0.007535,0.001965,3.9e-05,0.00725,0.008417,0.011,0.006958,0.111375
4,binding_guard_body,skip_binding,10000,0.007592,0.002396,4.7e-05,0.00725,0.008583,0.012291,0.007,0.150084
4,approval_ticket_body,ticket_trigger_full,100,0.009393,0.002733,0.000536,0.008688,0.012258,0.020757,0.008417,0.029666
4,approval_ticket_body,ticket_trigger_skip,100,0.007665,0.00159,0.000312,0.007333,0.009841,0.013288,0.007125,0.021208
5,binding_guard_body,full,10000,0.007575,0.00168,3.3e-05,0.007292,0.008417,0.012959,0.007,0.095208
5,binding_guard_body,skip_binding,10000,0.007557,0.001589,3.1e-05,0.007292,0.008375,0.012583,0.007,0.081958
5,approval_ticket_body,ticket_trigger_full,100,0.009771,0.002815,0.000552,0.008917,0.017988,0.022348,0.008708,0.02375
5,approval_ticket_body,ticket_trigger_skip,100,0.00757,0.001479,0.00029,0.007333,0.007592,0.017342,0.007125,0.018209
5,registry+agent_lookup,full,10000,0.007535,0.001378,2.7e-05,0.007291,0.00825,0.0125,0.007041,0.030667
5,registry+agent_lookup,skip_lookups,10000,0.007523,0.001487,2.9e-05,0.00725,0.008333,0.012459,0.007042,0.04825
5,hash_guard_body,full,10000,0.007517,0.001731,3.4e-05,0.00725,0.00825,0.012125,0.006958,0.080375
5,hash_guard_body,skip_hash,10000,0.007527,0.001645,3.2e-05,0.00725,0.008333,0.012333,0.006917,0.067625
6,binding_guard_body,full,10000,0.00763,0.002233,4.4e-05,0.007333,0.008375,0.012291,0.007042,0.111375
6,binding_guard_body,skip_binding,10000,0.007585,0.001291,2.5e-05,0.007333,0.008375,0.012125,0.007041,0.045167
6,hash_guard_body,full,10000,0.007544,0.00142,2.8e-05,0.00725,0.0085,0.012833,0.007,0.047667
6,hash_guard_body,skip_hash,10000,0.007555,0.001522,3e-05,0.00725,0.008752,0.01275,0.007,0.04775
6,registry+agent_lookup,full,10000,0.007678,0.002728,5.3e-05,0.007334,0.008584,0.012667,0.007,0.19075
6,registry+agent_lookup,skip_lookups,10000,0.007659,0.00328,6.4e-05,0.007292,0.0085,0.012791,0.006958,0.2455
6,approval_ticket_body,ticket_trigger_full,100,0.010042,0.002063,0.000404,0.00925,0.013418,0.018512,0.008917,0.019708
6,approval_ticket_body,ticket_trigger_skip,100,0.008102,0.002621,0.000514,0.007417,0.010175,0.024762,0.007167,0.026
7,approval_ticket_body,ticket_trigger_full,100,0.010409,0.003628,0.000711,0.009542,0.014783,0.029531,0.009291,0.036708
7,approval_ticket_body,ticket_trigger_skip,100,0.007805,0.003274,0.000642,0.007334,0.007708,0.019767,0.007167,0.037834
7,registry+agent_lookup,full,10000,0.007622,0.001938,3.8e-05,0.007292,0.0085,0.01271,0.006958,0.078084
7,registry+agent_lookup,skip_lookups,10000,0.007569,0.002019,4e-05,0.00725,0.008333,0.012167,0.007,0.095166
7,binding_guard_body,full,10000,0.007644,0.001399,2.7e-05,0.007375,0.008708,0.012916,0.007083,0.047791
7,binding_guard_body,skip_binding,10000,0.007646,0.001456,2.9e-05,0.007375,0.008667,0.012709,0.007083,0.060625
7,hash_guard_body,full,10000,0.007719,0.002099,4.1e-05,0.007416,0.008875,0.01275,0.007041,0.125125
7,hash_guard_body,skip_hash,10000,0.007669,0.001475,2.9e-05,0.007416,0.008709,0.012083,0.007041,0.077666
8,hash_guard_body,full,10000,0.007666,0.001558,3.1e-05,0.007375,0.008583,0.012541,0.007042,0.063208
8,hash_guard_body,skip_hash,10000,0.007716,0.002461,4.8e-05,0.007375,0.008583,0.013044,0.007042,0.140666
8,approval_ticket_body,ticket_trigger_full,100,0.010827,0.004199,0.000823,0.009833,0.016731,0.032044,0.009542,0.040542
8,approval_ticket_body,ticket_trigger_skip,100,0.007711,0.002394,0.000469,0.007334,0.007839,0.013464,0.007166,0.030459
8,registry+agent_lookup,full,10000,0.007521,0.001324,2.6e-05,0.007292,0.008002,0.01225,0.007041,0.039584
8,registry+agent_lookup,skip_lookups,10000,0.007475,0.001356,2.7e-05,0.00725,0.007917,0.011917,0.007,0.047083
8,binding_guard_body,full,10000,0.007634,0.002617,5.1e-05,0.00725,0.008416,0.012625,0.007,0.122875
8,binding_guard_body,skip_binding,10000,0.007617,0.002716,5.3e-05,0.007291,0.008375,0.012458,0.007,0.18125
9,hash_guard_body,full,10000,0.007689,0.002524,4.9e-05,0.007334,0.008916,0.012791,0.007,0.13375
9,hash_guard_body,skip_hash,10000,0.007645,0.001932,3.8e-05,0.007334,0.008625,0.012584,0.007,0.107666
9,binding_guard_body,full,10000,0.008287,0.002665,5.2e-05,0.007917,0.008875,0.018169,0.007375,0.100667
9,binding_guard_body,skip_binding,10000,0.008263,0.002927,5.7e-05,0.007917,0.008833,0.0165,0.007375,0.156209
9,approval_ticket_body,ticket_trigger_full,100,0.012964,0.005226,0.001024,0.011063,0.0219,0.040589,0.010542,0.041167
9,approval_ticket_body,ticket_trigger_skip,100,0.009646,0.005481,0.001074,0.007979,0.014083,0.020301,0.007666,0.058292
9,registry+agent_lookup,full,10000,0.008548,0.006009,0.000118,0.007958,0.009958,0.022833,0.007208,0.372542
9,registry+agent_lookup,skip_lookups,10000,0.00823,0.003142,6.2e-05,0.007833,0.009375,0.021542,0.007166,0.122625
