system,attack_case,attempts,successes,success_rate,outcome
userspace,ticket_id_bitflip,10,0,0.0,BLOCKED
userspace,ticket_id_max,10,0,0.0,BLOCKED
userspace,ticket_id_off_by_one,10,0,0.0,BLOCKED
userspace,ticket_id_zero,10,0,0.0,BLOCKED
userspace,ticket_race_double_consume_w0,10,0,0.0,BLOCKED
userspace,ticket_race_double_consume_w1,10,0,0.0,BLOCKED
userspace,tool_hash_one_char_flip,10,0,0.0,BLOCKED
userspace,tool_hash_prefix_truncated,10,0,0.0,BLOCKED
seccomp,ticket_id_bitflip,10,0,0.0,BLOCKED
seccomp,ticket_id_max,10,0,0.0,BLOCKED
seccomp,ticket_id_off_by_one,10,0,0.0,BLOCKED
seccomp,ticket_id_zero,10,0,0.0,BLOCKED
seccomp,ticket_race_double_consume_w0,10,0,0.0,BLOCKED
seccomp,ticket_race_double_consume_w1,10,0,0.0,BLOCKED
seccomp,tool_hash_one_char_flip,10,0,0.0,BLOCKED
seccomp,tool_hash_prefix_truncated,10,0,0.0,BLOCKED
kernel,ticket_id_bitflip,10,0,0.0,BLOCKED
kernel,ticket_id_max,10,0,0.0,BLOCKED
kernel,ticket_id_off_by_one,10,0,0.0,BLOCKED
kernel,ticket_id_zero,10,0,0.0,BLOCKED
kernel,ticket_race_double_consume_w0,10,0,0.0,BLOCKED
kernel,ticket_race_double_consume_w1,10,0,0.0,BLOCKED
kernel,tool_hash_one_char_flip,10,0,0.0,BLOCKED
kernel,tool_hash_prefix_truncated,10,0,0.0,BLOCKED
