system,attack_type,scenario_group,attack_case,mode,attack_profile,status,decision,error,latency_ms,unauthorized_success,expected_reject,invariant_violated
userspace,boundary,F,ticket_id_bitflip,userspace,,error,DEFER,kernel arbitration deferred: require_approval,0.928,0,1,0
userspace,boundary,F,ticket_id_off_by_one,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.88,0,1,0
userspace,boundary,F,ticket_id_zero,userspace,,error,DEFER,kernel arbitration deferred: require_approval,0.828,0,1,0
userspace,boundary,F,ticket_id_max,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.886,0,1,0
userspace,boundary,F,ticket_race_double_consume_w0,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_consumed,2.079,0,1,0
userspace,boundary,F,ticket_race_double_consume_w1,userspace,,ok_legitimate_consume,ALLOW,,1.843,0,1,0
userspace,boundary,F,tool_hash_one_char_flip,userspace,,error,DENY,kernel arbitration denied: hash_mismatch,1.113,0,1,0
userspace,boundary,F,tool_hash_prefix_truncated,userspace,,error,,tool_hash must be 8 hex chars,1.082,0,1,0
userspace,boundary,F,ticket_id_bitflip,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_consumed,0.907,0,1,0
userspace,boundary,F,ticket_id_off_by_one,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.794,0,1,0
userspace,boundary,F,ticket_id_zero,userspace,,error,DEFER,kernel arbitration deferred: require_approval,0.699,0,1,0
userspace,boundary,F,ticket_id_max,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.691,0,1,0
userspace,boundary,F,ticket_race_double_consume_w0,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_consumed,1.335,0,1,0
userspace,boundary,F,ticket_race_double_consume_w1,userspace,,ok_legitimate_consume,ALLOW,,1.907,0,1,0
userspace,boundary,F,tool_hash_one_char_flip,userspace,,error,DENY,kernel arbitration denied: hash_mismatch,0.777,0,1,0
userspace,boundary,F,tool_hash_prefix_truncated,userspace,,error,,tool_hash must be 8 hex chars,1.652,0,1,0
userspace,boundary,F,ticket_id_bitflip,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,1.298,0,1,0
userspace,boundary,F,ticket_id_off_by_one,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.657,0,1,0
userspace,boundary,F,ticket_id_zero,userspace,,error,DEFER,kernel arbitration deferred: require_approval,0.558,0,1,0
userspace,boundary,F,ticket_id_max,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.537,0,1,0
userspace,boundary,F,ticket_race_double_consume_w0,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_consumed,3.049,0,1,0
userspace,boundary,F,ticket_race_double_consume_w1,userspace,,ok_legitimate_consume,ALLOW,,3.218,0,1,0
userspace,boundary,F,tool_hash_one_char_flip,userspace,,error,DENY,kernel arbitration denied: hash_mismatch,0.976,0,1,0
userspace,boundary,F,tool_hash_prefix_truncated,userspace,,error,,tool_hash must be 8 hex chars,0.818,0,1,0
userspace,boundary,F,ticket_id_bitflip,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_consumed,0.624,0,1,0
userspace,boundary,F,ticket_id_off_by_one,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.589,0,1,0
userspace,boundary,F,ticket_id_zero,userspace,,error,DEFER,kernel arbitration deferred: require_approval,0.589,0,1,0
userspace,boundary,F,ticket_id_max,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.566,0,1,0
userspace,boundary,F,ticket_race_double_consume_w0,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_consumed,1.122,0,1,0
userspace,boundary,F,ticket_race_double_consume_w1,userspace,,ok_legitimate_consume,ALLOW,,3.295,0,1,0
userspace,boundary,F,tool_hash_one_char_flip,userspace,,error,DENY,kernel arbitration denied: hash_mismatch,0.588,0,1,0
userspace,boundary,F,tool_hash_prefix_truncated,userspace,,error,,tool_hash must be 8 hex chars,0.576,0,1,0
userspace,boundary,F,ticket_id_bitflip,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.57,0,1,0
userspace,boundary,F,ticket_id_off_by_one,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.576,0,1,0
userspace,boundary,F,ticket_id_zero,userspace,,error,DEFER,kernel arbitration deferred: require_approval,0.602,0,1,0
userspace,boundary,F,ticket_id_max,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.564,0,1,0
userspace,boundary,F,ticket_race_double_consume_w0,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_consumed,1.559,0,1,0
userspace,boundary,F,ticket_race_double_consume_w1,userspace,,ok_legitimate_consume,ALLOW,,1.195,0,1,0
userspace,boundary,F,tool_hash_one_char_flip,userspace,,error,DENY,kernel arbitration denied: hash_mismatch,0.798,0,1,0
userspace,boundary,F,tool_hash_prefix_truncated,userspace,,error,,tool_hash must be 8 hex chars,0.699,0,1,0
userspace,boundary,F,ticket_id_bitflip,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_consumed,0.597,0,1,0
userspace,boundary,F,ticket_id_off_by_one,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.572,0,1,0
userspace,boundary,F,ticket_id_zero,userspace,,error,DEFER,kernel arbitration deferred: require_approval,0.575,0,1,0
userspace,boundary,F,ticket_id_max,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.557,0,1,0
userspace,boundary,F,ticket_race_double_consume_w0,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_consumed,3.518,0,1,0
userspace,boundary,F,ticket_race_double_consume_w1,userspace,,ok_legitimate_consume,ALLOW,,1.276,0,1,0
userspace,boundary,F,tool_hash_one_char_flip,userspace,,error,DENY,kernel arbitration denied: hash_mismatch,0.794,0,1,0
userspace,boundary,F,tool_hash_prefix_truncated,userspace,,error,,tool_hash must be 8 hex chars,0.662,0,1,0
userspace,boundary,F,ticket_id_bitflip,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.554,0,1,0
userspace,boundary,F,ticket_id_off_by_one,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.651,0,1,0
userspace,boundary,F,ticket_id_zero,userspace,,error,DEFER,kernel arbitration deferred: require_approval,0.67,0,1,0
userspace,boundary,F,ticket_id_max,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.553,0,1,0
userspace,boundary,F,ticket_race_double_consume_w0,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_consumed,1.06,0,1,0
userspace,boundary,F,ticket_race_double_consume_w1,userspace,,ok_legitimate_consume,ALLOW,,1.248,0,1,0
userspace,boundary,F,tool_hash_one_char_flip,userspace,,error,DENY,kernel arbitration denied: hash_mismatch,3.345,0,1,0
userspace,boundary,F,tool_hash_prefix_truncated,userspace,,error,,tool_hash must be 8 hex chars,1.572,0,1,0
userspace,boundary,F,ticket_id_bitflip,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_consumed,0.563,0,1,0
userspace,boundary,F,ticket_id_off_by_one,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.599,0,1,0
userspace,boundary,F,ticket_id_zero,userspace,,error,DEFER,kernel arbitration deferred: require_approval,0.593,0,1,0
userspace,boundary,F,ticket_id_max,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.577,0,1,0
userspace,boundary,F,ticket_race_double_consume_w0,userspace,,error,DEFER,kernel arbitration deferred: approval_ticket_consumed,1.142,0,1,0
userspace,boundary,F,ticket_race_double_consume_w1,userspace,,ok_legitimate_consume,ALLOW,,2.974,0,1,0
userspace,boundary,F,tool_hash_one_char_flip,userspace,,error,DENY,kernel arbitration denied: hash_mismatch,0.556,0,1,0
userspace,boundary,F,tool_hash_prefix_truncated,userspace,,error,,tool_hash must be 8 hex chars,1.205,0,1,0
