system,attack_type,scenario_group,attack_case,mode,attack_profile,status,decision,error,latency_ms,unauthorized_success,expected_reject,invariant_violated
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,2.217,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,5.894,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.563,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,2.319,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,3.659,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,3.04,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,3.028,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,3.931,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,2.508,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,2.226,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,2.061,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.967,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,2.827,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,6.024,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.51,0,1,0
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,2.972,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,3.464,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),2.22,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,4.411,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,4.656,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,4.935,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,3.699,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),2.341,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,4.41,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,4.059,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,2.737,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.976,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.599,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,4.802,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,3.92,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,6.87,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.296,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),2.736,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,3.773,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.162,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,1.941,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.997,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.722,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,3.791,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.833,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,2.437,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,1.373,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,1.6,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,1.666,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,1.36,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,2.851,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,1.614,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,5.868,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,4.494,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,3.084,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,4.459,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,1.73,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,1.555,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,1.574,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,1.295,1,1,1
userspace,escalation,D,invalid_session_hash_bypass,userspace,compromised_userspace,ok,ALLOW,,2.339,1,1,1
userspace,escalation,D,approval_required_bypass,userspace,compromised_userspace,ok,ALLOW,,3.886,1,1,1
userspace,escalation,D,invalid_session_hash_bypass,userspace,compromised_userspace,ok,ALLOW,,4.718,1,1,1
userspace,escalation,D,approval_required_bypass,userspace,compromised_userspace,ok,ALLOW,,2.226,1,1,1
userspace,escalation,D,invalid_session_hash_bypass,userspace,compromised_userspace,ok,ALLOW,,8.429,1,1,1
userspace,escalation,D,approval_required_bypass,userspace,compromised_userspace,ok,ALLOW,,2.979,1,1,1
userspace,escalation,D,invalid_session_hash_bypass,userspace,compromised_userspace,ok,ALLOW,,2.946,1,1,1
userspace,escalation,D,approval_required_bypass,userspace,compromised_userspace,ok,ALLOW,,2.294,1,1,1
userspace,escalation,D,invalid_session_hash_bypass,userspace,compromised_userspace,ok,ALLOW,,2.843,1,1,1
userspace,escalation,D,approval_required_bypass,userspace,compromised_userspace,ok,ALLOW,,4.437,1,1,1
seccomp,spoof,A,fake_session_id,seccomp,tamper_session,ok,ALLOW,,2.287,1,1,1
seccomp,spoof,A,expired_session,seccomp,tamper_session,ok,ALLOW,,1.881,1,1,1
seccomp,spoof,A,session_token_theft,seccomp,tamper_session,error,,agent_id is bound to a different peer identity,1.612,0,1,0
seccomp,spoof,A,fake_session_id,seccomp,tamper_session,ok,ALLOW,,2.156,1,1,1
seccomp,spoof,A,expired_session,seccomp,tamper_session,ok,ALLOW,,2.869,1,1,1
seccomp,spoof,A,session_token_theft,seccomp,tamper_session,error,,agent_id is bound to a different peer identity,1.227,0,1,0
seccomp,spoof,A,fake_session_id,seccomp,tamper_session,ok,ALLOW,,2.554,1,1,1
seccomp,spoof,A,expired_session,seccomp,tamper_session,ok,ALLOW,,2.568,1,1,1
seccomp,spoof,A,session_token_theft,seccomp,tamper_session,error,,agent_id is bound to a different peer identity,2.208,0,1,0
seccomp,spoof,A,fake_session_id,seccomp,tamper_session,ok,ALLOW,,1.886,1,1,1
seccomp,spoof,A,expired_session,seccomp,tamper_session,ok,ALLOW,,2.402,1,1,1
