system,request_index,elapsed_ms,latency_ms,accepted,denied,decision,reason,allowed_so_far,budget_usage_pct
userspace,1,2.867,2.855,1,0,ALLOW,allow,1,2.0
userspace,2,4.588,1.703,1,0,ALLOW,allow,2,4.0
userspace,3,6.886,2.284,1,0,ALLOW,allow,3,6.0
userspace,4,8.788,1.893,1,0,ALLOW,allow,4,8.0
userspace,5,10.231,1.429,1,0,ALLOW,allow,5,10.0
userspace,6,12.431,2.177,1,0,ALLOW,allow,6,12.0
userspace,7,14.58,2.134,1,0,ALLOW,allow,7,14.0
userspace,8,16.178,1.586,1,0,ALLOW,allow,8,16.0
userspace,9,17.825,1.636,1,0,ALLOW,allow,9,18.0
userspace,10,19.379,1.495,1,0,ALLOW,allow,10,20.0
userspace,11,20.831,1.443,1,0,ALLOW,allow,11,22.0
userspace,12,23.314,2.474,1,0,ALLOW,allow,12,24.0
userspace,13,24.89,1.566,1,0,ALLOW,allow,13,26.0
userspace,14,26.09,1.192,1,0,ALLOW,allow,14,28.0
userspace,15,27.826,1.73,1,0,ALLOW,allow,15,30.0
userspace,16,29.478,1.645,1,0,ALLOW,allow,16,32.0
userspace,17,30.847,1.362,1,0,ALLOW,allow,17,34.0
userspace,18,32.29,1.435,1,0,ALLOW,allow,18,36.0
userspace,19,33.805,1.505,1,0,ALLOW,allow,19,38.0
userspace,20,35.141,1.327,1,0,ALLOW,allow,20,40.0
userspace,21,36.965,1.816,1,0,ALLOW,allow,21,42.0
userspace,22,38.51,1.537,1,0,ALLOW,allow,22,44.0
userspace,23,39.862,1.343,1,0,ALLOW,allow,23,46.0
userspace,24,41.597,1.727,1,0,ALLOW,allow,24,48.0
userspace,25,43.825,2.163,1,0,ALLOW,allow,25,50.0
userspace,26,46.059,2.224,1,0,ALLOW,allow,26,52.0
userspace,27,48.08,1.992,1,0,ALLOW,allow,27,54.0
userspace,28,49.645,1.556,1,0,ALLOW,allow,28,56.0
userspace,29,51.191,1.538,1,0,ALLOW,allow,29,58.0
userspace,30,52.602,1.402,1,0,ALLOW,allow,30,60.0
userspace,31,53.996,1.386,1,0,ALLOW,allow,31,62.0
userspace,32,55.564,1.559,1,0,ALLOW,allow,32,64.0
userspace,33,58.416,2.843,1,0,ALLOW,allow,33,66.0
userspace,34,59.822,1.395,1,0,ALLOW,allow,34,68.0
userspace,35,61.626,1.795,1,0,ALLOW,allow,35,70.0
userspace,36,63.165,1.529,1,0,ALLOW,allow,36,72.0
userspace,37,64.948,1.773,1,0,ALLOW,allow,37,74.0
userspace,38,67.001,2.044,1,0,ALLOW,allow,38,76.0
userspace,39,68.648,1.638,1,0,ALLOW,allow,39,78.0
userspace,40,70.521,1.864,1,0,ALLOW,allow,40,80.0
