system,payload_label,payload_bytes,request_index,latency_ms,status,error
userspace,small,100,0,4.707,ok,
userspace,small,100,1,4.728,ok,
userspace,small,100,2,2.055,ok,
userspace,small,100,3,1.931,ok,
userspace,small,100,4,2.102,ok,
userspace,small,100,5,2.386,ok,
userspace,small,100,6,1.348,ok,
userspace,small,100,7,2.788,ok,
userspace,small,100,8,1.873,ok,
userspace,small,100,9,2.359,ok,
userspace,small,100,10,2.052,ok,
userspace,small,100,11,2.044,ok,
userspace,small,100,12,3.396,ok,
userspace,small,100,13,4.729,ok,
userspace,small,100,14,1.824,ok,
userspace,small,100,15,3.556,ok,
userspace,small,100,16,1.699,ok,
userspace,small,100,17,1.666,ok,
userspace,small,100,18,4.781,ok,
userspace,small,100,19,2.824,ok,
userspace,small,100,20,1.978,ok,
userspace,small,100,21,2.644,ok,
userspace,small,100,22,1.515,ok,
userspace,small,100,23,1.156,ok,
userspace,small,100,24,1.424,ok,
userspace,small,100,25,1.164,ok,
userspace,small,100,26,1.111,ok,
userspace,small,100,27,4.7,ok,
userspace,small,100,28,4.46,ok,
userspace,small,100,29,2.539,ok,
userspace,small,100,30,3.28,ok,
userspace,small,100,31,2.596,ok,
userspace,small,100,32,14.006,ok,
userspace,small,100,33,3.191,ok,
userspace,small,100,34,2.503,ok,
userspace,small,100,35,2.614,ok,
userspace,small,100,36,1.697,ok,
userspace,small,100,37,1.7,ok,
userspace,small,100,38,1.795,ok,
userspace,small,100,39,1.633,ok,
userspace,small,100,40,1.999,ok,
userspace,small,100,41,1.746,ok,
userspace,small,100,42,3.191,ok,
userspace,small,100,43,2.025,ok,
userspace,small,100,44,1.403,ok,
userspace,small,100,45,1.889,ok,
userspace,small,100,46,1.87,ok,
userspace,small,100,47,1.964,ok,
userspace,small,100,48,1.862,ok,
userspace,small,100,49,3.714,ok,
userspace,small,100,50,5.274,ok,
userspace,small,100,51,1.686,ok,
userspace,small,100,52,1.28,ok,
userspace,small,100,53,1.79,ok,
userspace,small,100,54,1.463,ok,
userspace,small,100,55,1.816,ok,
userspace,small,100,56,1.305,ok,
userspace,small,100,57,6.293,ok,
