system,agents,concurrency,requests,errors,error_rate,throughput_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
userspace,1,1,50,0,0.0,394.195,2.504,2.056,4.45,7.655
userspace,1,10,50,0,0.0,521.783,16.077,16.152,26.643,32.147
userspace,1,100,50,0,0.0,530.583,36.799,38.151,68.009,69.834
userspace,10,1,500,0,0.0,425.816,2.334,1.793,4.449,7.527
userspace,10,10,500,0,0.0,492.066,19.662,18.448,33.878,61.714
userspace,10,100,500,0,0.0,499.846,167.708,173.632,327.225,434.686
userspace,50,1,2500,0,0.0,428.94,2.318,1.798,4.561,7.143
userspace,50,10,2500,0,0.0,476.124,20.882,19.303,38.203,62.523
userspace,50,100,2500,0,0.0,495.393,189.759,195.044,397.467,456.307
seccomp,1,1,50,0,0.0,236.931,4.197,2.813,5.98,31.237
seccomp,1,10,50,0,0.0,305.615,29.566,29.528,44.108,46.997
seccomp,1,100,50,0,0.0,327.437,83.298,84.004,133.022,135.057
seccomp,10,1,500,0,0.0,351.946,2.826,2.298,5.341,8.289
seccomp,10,10,500,0,0.0,409.642,23.635,22.157,40.267,76.226
seccomp,10,100,500,0,0.0,399.663,200.432,209.994,414.301,560.37
seccomp,50,1,2500,0,0.0,356.192,2.79,2.227,5.416,8.302
seccomp,50,10,2500,0,0.0,382.996,25.848,23.702,45.129,91.869
seccomp,50,100,2500,0,0.0,391.309,238.548,247.233,485.644,568.344
