system,attack_type,scenario_group,attack_case,mode,attack_profile,status,decision,error,latency_ms,unauthorized_success,expected_reject,invariant_violated
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.695,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.969,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.137,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,2.044,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.641,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.023,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,3.191,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.652,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.355,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.606,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.954,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,2.947,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.622,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.97,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.42,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,3.591,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,2.005,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.405,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.975,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.824,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.35,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,2.93,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,3.715,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.1,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,2.15,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.835,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,3.434,0,1,0
