system,request_index,elapsed_ms,latency_ms,accepted,denied,decision,reason,allowed_so_far,budget_usage_pct
userspace,1,4.615,4.606,1,0,ALLOW,allow,1,2.0
userspace,2,6.478,1.844,1,0,ALLOW,allow,2,4.0
userspace,3,8.206,1.716,1,0,ALLOW,allow,3,6.0
userspace,4,12.363,4.147,1,0,ALLOW,allow,4,8.0
userspace,5,15.456,3.082,1,0,ALLOW,allow,5,10.0
userspace,6,17.183,1.716,1,0,ALLOW,allow,6,12.0
userspace,7,18.668,1.477,1,0,ALLOW,allow,7,14.0
userspace,8,20.408,1.732,1,0,ALLOW,allow,8,16.0
userspace,9,21.625,1.208,1,0,ALLOW,allow,9,18.0
userspace,10,22.888,1.255,1,0,ALLOW,allow,10,20.0
userspace,11,24.184,1.287,1,0,ALLOW,allow,11,22.0
userspace,12,26.309,2.113,1,0,ALLOW,allow,12,24.0
userspace,13,28.497,2.172,1,0,ALLOW,allow,13,26.0
userspace,14,29.797,1.27,1,0,ALLOW,allow,14,28.0
userspace,15,31.011,1.201,1,0,ALLOW,allow,15,30.0
userspace,16,32.951,1.932,1,0,ALLOW,allow,16,32.0
userspace,17,34.254,1.294,1,0,ALLOW,allow,17,34.0
userspace,18,35.985,1.723,1,0,ALLOW,allow,18,36.0
userspace,19,37.678,1.684,1,0,ALLOW,allow,19,38.0
userspace,20,38.96,1.273,1,0,ALLOW,allow,20,40.0
userspace,21,40.879,1.911,1,0,ALLOW,allow,21,42.0
userspace,22,42.731,1.843,1,0,ALLOW,allow,22,44.0
userspace,23,44.588,1.848,1,0,ALLOW,allow,23,46.0
userspace,24,47.572,2.975,1,0,ALLOW,allow,24,48.0
userspace,25,49.334,1.752,1,0,ALLOW,allow,25,50.0
userspace,26,50.668,1.324,1,0,ALLOW,allow,26,52.0
userspace,27,52.433,1.757,1,0,ALLOW,allow,27,54.0
userspace,28,54.023,1.581,1,0,ALLOW,allow,28,56.0
userspace,29,55.752,1.719,1,0,ALLOW,allow,29,58.0
userspace,30,57.275,1.495,1,0,ALLOW,allow,30,60.0
userspace,31,58.653,1.36,1,0,ALLOW,allow,31,62.0
userspace,32,59.937,1.275,1,0,ALLOW,allow,32,64.0
userspace,33,61.527,1.581,1,0,ALLOW,allow,33,66.0
userspace,34,63.077,1.542,1,0,ALLOW,allow,34,68.0
userspace,35,64.499,1.413,1,0,ALLOW,allow,35,70.0
userspace,36,65.62,1.112,1,0,ALLOW,allow,36,72.0
userspace,37,70.104,4.476,1,0,ALLOW,allow,37,74.0
userspace,38,71.806,1.693,1,0,ALLOW,allow,38,76.0
userspace,39,73.328,1.512,1,0,ALLOW,allow,39,78.0
userspace,40,77.781,4.442,1,0,ALLOW,allow,40,80.0
userspace,41,79.38,1.586,1,0,ALLOW,allow,41,82.0
userspace,42,80.571,1.182,1,0,ALLOW,allow,42,84.0
userspace,43,81.983,1.403,1,0,ALLOW,allow,43,86.0
userspace,44,83.75,1.759,1,0,ALLOW,allow,44,88.0
userspace,45,84.949,1.191,1,0,ALLOW,allow,45,90.0
userspace,46,86.269,1.311,1,0,ALLOW,allow,46,92.0
userspace,47,92.324,6.045,1,0,ALLOW,allow,47,94.0
userspace,48,94.08,1.743,1,0,ALLOW,allow,48,96.0
userspace,49,95.501,1.411,1,0,ALLOW,allow,49,98.0
userspace,50,96.636,1.125,1,0,ALLOW,allow,50,100.0
userspace,51,97.668,1.024,0,1,DENY,budget_calls_exhausted,50,100.0
userspace,52,98.571,0.895,0,1,DENY,budget_calls_exhausted,50,100.0
userspace,53,99.506,0.928,0,1,DENY,budget_calls_exhausted,50,100.0
