repetition,system,payload_label,payload_bytes,payload_display,requests,errors,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,session_lookup_ms,arbitration_ms,tool_exec_ms,total_ms,tool_exec_share_pct
1,userspace,small,100,100 B,500,0,2.108,1.625,4.114,7.817,0.016,0.008,0.822,1.703,44.499
1,userspace,medium,10240,"10 KB (10,240 B)",500,0,2.521,2.018,5.111,7.714,0.017,0.025,0.876,1.858,46.437
1,userspace,large,1048576,"1 MB (1,048,576 B)",500,0,15.392,14.046,21.77,46.272,0.02,0.012,7.438,8.51,87.722
2,userspace,small,100,100 B,500,0,2.1,1.582,4.135,6.968,0.011,0.01,0.749,1.594,45.005
2,userspace,medium,10240,"10 KB (10,240 B)",500,0,1.918,1.635,3.761,4.908,0.01,0.01,0.696,1.495,46.169
2,userspace,large,1048576,"1 MB (1,048,576 B)",500,0,14.776,13.904,19.47,40.148,0.017,0.012,7.139,8.063,88.282
1,seccomp,small,100,100 B,500,0,2.396,1.92,4.706,7.623,0.012,0.011,0.807,1.731,44.666
1,seccomp,medium,10240,"10 KB (10,240 B)",500,0,2.6,2.093,4.822,11.073,0.023,0.011,0.9,1.905,45.234
1,seccomp,large,1048576,"1 MB (1,048,576 B)",500,0,18.503,17.31,23.537,46.369,0.017,0.017,6.997,11.304,61.769
2,seccomp,small,100,100 B,500,0,2.126,1.8,4.299,6.032,0.011,0.014,0.724,1.576,44.364
2,seccomp,medium,10240,"10 KB (10,240 B)",500,0,2.557,2.061,4.719,10.068,0.012,0.016,0.89,1.846,47.075
2,seccomp,large,1048576,"1 MB (1,048,576 B)",500,0,19.614,18.319,25.682,56.708,0.02,0.019,7.695,12.314,62.356
1,kernel,small,100,100 B,500,450,1.504,1.109,3.402,5.415,0.017,0.061,0.068,1.024,4.09
1,kernel,medium,10240,"10 KB (10,240 B)",500,500,1.338,1.039,2.899,4.022,0.016,0.055,0.0,0.89,0.0
1,kernel,large,1048576,"1 MB (1,048,576 B)",500,500,8.211,7.304,12.613,16.537,0.02,0.113,0.0,1.18,0.0
2,kernel,small,100,100 B,500,450,1.487,1.129,3.222,5.363,0.011,0.067,0.091,0.971,4.446
2,kernel,medium,10240,"10 KB (10,240 B)",500,500,1.525,1.104,3.434,5.239,0.015,0.069,0.0,0.975,0.0
2,kernel,large,1048576,"1 MB (1,048,576 B)",500,500,7.595,6.863,10.934,18.132,0.016,0.098,0.0,1.059,0.0
