repetition,system,agents,concurrency,measurement_seconds,requests,errors,error_rate,throughput_rps,throughput_std_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
1,userspace,1,1,4.0,2015,0,0.0,503.75,20.32,1.975,1.578,3.817,5.969
1,userspace,1,10,4.0,2036,0,0.0,509.0,41.625,19.611,17.703,34.383,67.007
1,userspace,1,50,4.0,1960,0,0.0,490.0,57.486,101.061,92.343,207.056,281.453
1,userspace,1,100,4.0,2104,0,0.0,526.0,27.725,189.106,185.553,361.808,452.407
1,userspace,5,1,4.0,1763,0,0.0,440.75,68.002,2.258,1.674,4.599,8.318
1,userspace,5,10,4.0,1405,0,0.0,351.25,109.256,28.534,25.444,58.019,100.476
1,userspace,5,50,4.0,1866,0,0.0,466.5,12.557,108.315,97.954,206.987,301.391
1,userspace,5,100,4.0,1798,0,0.0,449.5,43.547,221.19,213.844,422.261,601.109
1,userspace,10,1,4.0,1775,0,0.0,443.75,22.648,2.242,1.722,4.579,7.36
1,userspace,10,10,4.0,2139,0,0.0,534.75,44.018,18.683,16.959,32.149,66.324
1,userspace,10,50,4.0,2186,0,0.0,546.5,44.321,92.53,88.78,170.554,224.333
1,userspace,10,100,4.0,2233,0,0.0,558.25,26.209,178.062,172.262,345.244,402.276
1,userspace,20,1,4.0,1877,0,0.0,469.25,17.914,2.121,1.664,4.345,6.545
1,userspace,20,10,4.0,2092,0,0.0,523.0,42.087,19.092,17.412,32.934,71.848
1,userspace,20,50,4.0,2159,0,0.0,539.75,37.295,95.136,86.04,184.544,275.873
1,userspace,20,100,4.0,2033,0,0.0,508.25,61.841,194.398,183.629,378.085,495.851
1,userspace,50,1,4.0,1936,0,0.0,484.0,19.849,2.056,1.622,4.179,6.156
1,userspace,50,10,4.0,2197,0,0.0,549.25,52.456,18.176,16.553,31.243,57.239
1,userspace,50,50,4.0,2416,0,0.0,604.0,43.305,82.076,78.838,147.505,205.827
