system,agents,concurrency,runs,measurement_seconds,requests_mean,errors_mean,throughput_rps,throughput_rps_std,throughput_rps_ci_lo,throughput_rps_ci_hi,error_rate,error_rate_std,error_rate_ci_lo,error_rate_ci_hi,latency_avg_ms,latency_avg_ms_std,latency_avg_ms_ci_lo,latency_avg_ms_ci_hi,latency_p50_ms,latency_p50_ms_std,latency_p50_ms_ci_lo,latency_p50_ms_ci_hi,latency_p95_ms,latency_p95_ms_std,latency_p95_ms_ci_lo,latency_p95_ms_ci_hi,latency_p99_ms,latency_p99_ms_std,latency_p99_ms_ci_lo,latency_p99_ms_ci_hi,throughput_pvalue_vs_userspace,latency_p95_pvalue_vs_userspace
kernel,1,1,2,4.0,2827.0,2827.0,706.75,53.033,633.25,780.25,1.0,0.0,1.0,1.0,1.411,0.106,1.264,1.558,1.118,0.098,0.981,1.254,2.981,0.24,2.648,3.314,4.629,0.418,4.049,5.208,0.000101,0.00194
kernel,1,10,2,4.0,2493.0,2493.0,623.25,33.234,577.19,669.31,1.0,0.0,1.0,1.0,16.123,0.756,15.076,17.171,14.71,0.969,13.367,16.054,27.579,0.304,27.158,28.0,56.498,0.439,55.889,57.106,0.101121,0.0691
kernel,1,50,2,4.0,2666.0,2666.0,666.5,11.667,650.33,682.67,1.0,0.0,1.0,1.0,74.772,1.17,73.151,76.394,69.96,2.571,66.397,73.523,131.799,6.023,123.451,140.147,188.0,1.324,186.165,189.836,0.044433,0.127358
kernel,1,100,2,4.0,2479.5,2479.5,619.875,49.321,551.52,688.23,1.0,0.0,1.0,1.0,161.232,12.899,143.355,179.109,151.889,6.803,142.461,161.318,309.442,26.533,272.668,346.216,394.067,63.874,305.542,482.591,0.431296,0.219156
kernel,5,1,2,4.0,2456.5,2456.5,614.125,86.797,493.83,734.42,1.0,0.0,1.0,1.0,1.631,0.226,1.317,1.945,1.176,0.092,1.049,1.303,3.64,0.624,2.775,4.506,6.454,1.607,4.226,8.681,0.10551,0.427095
kernel,5,10,2,4.0,2465.5,2465.5,616.375,59.22,534.3,698.45,1.0,0.0,1.0,1.0,16.274,1.566,14.104,18.444,14.774,1.088,13.266,16.283,28.396,5.997,20.085,36.708,52.999,0.386,52.464,53.534,0.270594,0.368221
kernel,5,50,2,4.0,2526.5,2526.5,631.625,41.543,574.05,689.2,1.0,0.0,1.0,1.0,79.379,4.752,72.793,85.965,75.009,3.004,70.846,79.172,141.649,10.678,126.85,156.447,189.643,18.086,164.577,214.708,0.382565,0.261078
kernel,5,100,2,4.0,2629.5,2629.5,657.375,14.319,637.53,677.22,1.0,0.0,1.0,1.0,150.893,4.339,144.88,156.906,146.118,4.147,140.371,151.866,292.603,11.459,276.723,308.484,339.331,3.02,335.145,343.516,0.264749,0.304736
kernel,10,1,2,4.0,2768.0,2768.0,692.0,22.627,660.64,723.36,1.0,0.0,1.0,1.0,1.425,0.04,1.37,1.48,1.116,0.067,1.023,1.21,2.961,0.03,2.92,3.002,4.775,0.163,4.55,5.0,6.9e-05,0.013527
kernel,10,10,2,4.0,2563.5,2563.5,640.875,30.582,598.49,683.26,1.0,0.0,1.0,1.0,15.588,0.788,14.496,16.68,14.386,0.936,13.088,15.684,25.559,1.353,23.684,27.433,47.907,2.594,44.312,51.503,0.103742,0.127711
