system,attack_type,scenario_group,attack_case,mode,attack_profile,status,decision,error,latency_ms,unauthorized_success,expected_reject,invariant_violated
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,4.961,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.823,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.262,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,3.253,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,6.494,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.68,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,2.608,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.849,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.165,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,2.751,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.843,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.406,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,2.675,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,2.961,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.237,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.841,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,3.221,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.375,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,2.625,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,4.184,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.327,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,2.22,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,2.576,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,2.286,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.67,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,2.289,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,5.451,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.942,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,2.623,1,1,1
