system,agents,concurrency,requests,errors,error_rate,throughput_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
userspace,1,1,100,0,0.0,509.971,1.946,1.608,3.661,5.492
userspace,1,10,100,0,0.0,497.148,19.041,18.858,30.409,43.412
userspace,1,50,100,0,0.0,370.451,101.624,91.914,182.33,238.82
userspace,1,100,100,0,0.0,567.087,76.342,80.823,131.304,138.719
userspace,5,1,500,0,0.0,444.415,2.21,1.639,4.434,9.5
userspace,5,10,500,0,0.0,472.489,20.669,18.802,36.777,70.823
userspace,5,50,500,0,0.0,517.803,86.155,86.652,159.872,196.99
userspace,5,100,500,0,0.0,521.979,152.999,167.903,327.472,369.193
userspace,10,1,1000,0,0.0,442.838,2.245,1.756,4.674,7.398
userspace,10,10,1000,0,0.0,499.637,19.608,18.477,31.585,50.018
userspace,10,50,1000,0,0.0,469.83,100.592,98.954,191.513,253.678
userspace,10,100,1000,0,0.0,488.531,181.527,182.567,357.081,488.045
userspace,20,1,2000,0,0.0,447.947,2.219,1.745,4.212,6.765
userspace,20,10,2000,0,0.0,502.402,19.698,18.062,33.43,67.883
userspace,20,50,2000,0,0.0,484.25,96.131,87.984,184.419,273.3
userspace,20,100,2000,0,0.0,494.339,187.603,192.23,382.431,431.17
userspace,50,1,5000,0,0.0,356.44,2.788,2.039,5.743,11.499
userspace,50,10,5000,0,0.0,452.96,21.857,19.334,41.326,73.86
userspace,50,50,5000,0,0.0,456.037,106.323,103.888,202.364,272.85
userspace,50,100,5000,0,0.0,470.406,203.304,204.532,409.973,471.268
seccomp,1,1,100,0,0.0,336.628,2.942,2.233,5.643,7.416
seccomp,1,10,100,0,0.0,401.068,23.406,21.971,39.21,45.454
seccomp,1,50,100,0,0.0,325.392,120.369,131.511,188.61,273.449
seccomp,1,100,100,0,0.0,390.79,113.518,121.663,191.535,197.718
seccomp,5,1,500,0,0.0,349.52,2.844,2.234,5.641,9.444
seccomp,5,10,500,0,0.0,411.603,23.829,22.566,40.551,64.451
seccomp,5,50,500,0,0.0,410.668,110.239,107.28,207.207,259.646
seccomp,5,100,500,0,0.0,387.245,206.093,217.394,387.434,444.787
seccomp,10,1,1000,0,0.0,368.623,2.695,2.179,5.26,7.966
seccomp,10,10,1000,0,0.0,426.847,23.182,21.53,38.957,69.485
seccomp,10,50,1000,0,0.0,432.22,108.149,105.782,209.648,279.905
seccomp,10,100,1000,0,0.0,380.841,233.286,241.098,462.394,550.784
seccomp,20,1,2000,0,0.0,335.047,2.966,2.389,5.606,8.729
seccomp,20,10,2000,0,0.0,393.49,24.946,23.193,43.122,76.074
seccomp,20,50,2000,0,0.0,388.966,123.221,120.893,242.678,304.647
seccomp,20,100,2000,0,0.0,420.061,221.323,227.082,459.794,567.384
seccomp,50,1,5000,0,0.0,359.138,2.768,2.186,5.415,8.854
seccomp,50,10,5000,0,0.0,419.997,23.622,21.992,40.714,71.211
seccomp,50,50,5000,0,0.0,410.274,118.009,116.901,225.591,277.103
seccomp,50,100,5000,0,0.0,401.193,237.823,238.975,478.216,623.557
kernel,1,1,100,0,0.0,364.741,2.725,1.796,5.242,9.966
kernel,1,10,100,0,0.0,434.878,21.628,21.909,34.872,48.28
kernel,1,50,100,0,0.0,468.275,76.672,84.452,115.156,141.446
kernel,1,100,100,0,0.0,487.622,100.594,110.46,161.171,165.611
kernel,5,1,500,0,0.0,411.697,2.415,1.877,4.714,8.541
kernel,5,10,500,0,0.0,483.511,20.182,19.563,31.276,64.749
kernel,5,50,500,0,0.0,490.906,91.853,96.286,170.452,190.985
kernel,5,100,500,0,0.0,460.24,179.957,183.167,326.198,458.822
kernel,10,1,1000,0,0.0,427.989,2.32,1.845,4.384,6.735
kernel,10,10,1000,0,0.0,458.798,21.403,19.631,38.478,70.185
kernel,10,50,1000,0,0.0,481.361,96.563,93.636,183.987,235.493
kernel,10,100,1000,0,0.0,460.843,195.599,205.175,393.367,460.069
kernel,20,1,2000,0,0.0,410.965,2.417,1.845,4.634,7.29
kernel,20,10,2000,0,0.0,460.082,21.58,20.015,35.972,67.134
kernel,20,50,2000,0,0.0,482.22,99.909,95.895,192.288,262.102
kernel,20,100,2000,0,0.0,496.673,186.886,193.176,383.209,436.918
kernel,50,1,5000,0,0.0,408.965,2.431,1.906,4.72,7.048
kernel,50,10,5000,0,0.0,443.017,22.345,20.378,39.708,67.517
kernel,50,50,5000,0,0.0,475.39,102.613,98.862,192.08,256.22
kernel,50,100,5000,0,0.0,471.647,203.334,204.398,402.533,470.525
