system,request_index,elapsed_ms,latency_ms,accepted,denied,decision,reason,allowed_so_far,budget_usage_pct
userspace,1,1.547,1.533,1,0,ALLOW,allow,1,2.0
userspace,2,2.842,1.27,1,0,ALLOW,allow,2,4.0
userspace,3,4.094,1.243,1,0,ALLOW,allow,3,6.0
userspace,4,5.275,1.173,1,0,ALLOW,allow,4,8.0
userspace,5,6.466,1.184,1,0,ALLOW,allow,5,10.0
userspace,6,7.596,1.123,1,0,ALLOW,allow,6,12.0
userspace,7,8.645,1.043,1,0,ALLOW,allow,7,14.0
userspace,8,9.748,1.096,1,0,ALLOW,allow,8,16.0
userspace,9,10.86,1.107,1,0,ALLOW,allow,9,18.0
userspace,10,11.903,1.036,1,0,ALLOW,allow,10,20.0
userspace,11,12.909,1.001,1,0,ALLOW,allow,11,22.0
userspace,12,13.909,0.994,1,0,ALLOW,allow,12,24.0
userspace,13,14.897,0.983,1,0,ALLOW,allow,13,26.0
userspace,14,15.886,0.983,1,0,ALLOW,allow,14,28.0
userspace,15,16.832,0.941,1,0,ALLOW,allow,15,30.0
userspace,16,17.775,0.937,1,0,ALLOW,allow,16,32.0
userspace,17,18.743,0.963,1,0,ALLOW,allow,17,34.0
userspace,18,19.73,0.982,1,0,ALLOW,allow,18,36.0
userspace,19,20.695,0.96,1,0,ALLOW,allow,19,38.0
userspace,20,21.752,1.051,1,0,ALLOW,allow,20,40.0
userspace,21,22.855,1.096,1,0,ALLOW,allow,21,42.0
userspace,22,23.782,0.92,1,0,ALLOW,allow,22,44.0
userspace,23,24.714,0.926,1,0,ALLOW,allow,23,46.0
userspace,24,25.63,0.911,1,0,ALLOW,allow,24,48.0
userspace,25,26.582,0.947,1,0,ALLOW,allow,25,50.0
userspace,26,27.458,0.87,1,0,ALLOW,allow,26,52.0
userspace,27,28.314,0.851,1,0,ALLOW,allow,27,54.0
userspace,28,29.162,0.842,1,0,ALLOW,allow,28,56.0
userspace,29,29.965,0.799,1,0,ALLOW,allow,29,58.0
userspace,30,30.793,0.823,1,0,ALLOW,allow,30,60.0
userspace,31,31.632,0.835,1,0,ALLOW,allow,31,62.0
userspace,32,32.436,0.8,1,0,ALLOW,allow,32,64.0
userspace,33,33.23,0.789,1,0,ALLOW,allow,33,66.0
userspace,34,33.992,0.758,1,0,ALLOW,allow,34,68.0
userspace,35,34.787,0.791,1,0,ALLOW,allow,35,70.0
userspace,36,35.591,0.799,1,0,ALLOW,allow,36,72.0
userspace,37,36.39,0.795,1,0,ALLOW,allow,37,74.0
userspace,38,37.163,0.769,1,0,ALLOW,allow,38,76.0
