repetition,system,payload_label,payload_bytes,payload_display,requests,errors,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,session_lookup_ms,arbitration_ms,tool_exec_ms,total_ms,tool_exec_share_pct
1,userspace,small,100,100 B,2000,0,0.83,0.77,0.981,2.298,0.005,0.004,0.275,0.681,39.625
1,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.823,0.811,0.907,1.018,0.004,0.004,0.274,0.669,40.982
1,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.737,7.558,8.718,10.245,0.006,0.006,3.868,4.299,89.959
1,seccomp,small,100,100 B,2000,0,0.819,0.798,0.967,1.081,0.004,0.005,0.258,0.664,38.799
1,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.87,0.856,0.969,1.093,0.004,0.005,0.274,0.691,39.663
1,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,9.654,9.525,10.589,11.468,0.006,0.007,3.777,6.189,61.059
1,kernel,small,100,100 B,2000,0,0.913,0.82,1.109,1.991,0.005,0.03,0.315,0.759,38.475
1,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.878,0.855,0.999,1.198,0.004,0.028,0.286,0.709,40.125
1,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.358,7.232,8.126,9.02,0.006,0.036,3.82,4.274,89.392
2,kernel,small,100,100 B,2000,0,0.819,0.803,0.904,1.037,0.004,0.027,0.256,0.681,37.588
2,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.86,0.846,0.953,1.055,0.004,0.027,0.275,0.696,39.398
2,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.382,7.25,8.143,9.203,0.006,0.036,3.841,4.299,89.319
2,seccomp,small,100,100 B,2000,0,0.807,0.794,0.885,1.028,0.004,0.005,0.249,0.653,38.041
2,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.888,0.863,1.044,1.14,0.004,0.005,0.281,0.705,39.755
2,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,9.718,9.597,10.569,11.361,0.006,0.007,3.809,6.245,60.907
2,userspace,small,100,100 B,2000,0,0.771,0.759,0.849,0.975,0.004,0.004,0.249,0.645,38.484
2,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.84,0.813,0.914,1.144,0.004,0.004,0.281,0.676,41.182
2,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.717,7.554,8.526,9.59,0.006,0.006,3.861,4.283,90.112
3,kernel,small,100,100 B,2000,0,0.823,0.802,0.959,1.061,0.004,0.028,0.257,0.684,37.58
3,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.879,0.855,0.995,1.267,0.004,0.028,0.283,0.71,39.765
3,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.504,7.339,8.264,9.319,0.006,0.036,3.877,4.329,89.561
3,userspace,small,100,100 B,2000,0,0.805,0.774,0.978,1.053,0.004,0.004,0.262,0.671,38.915
3,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.832,0.815,0.924,1.06,0.004,0.004,0.276,0.676,40.735
3,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,8.039,7.634,9.812,14.519,0.006,0.006,4.016,4.467,89.935
3,seccomp,small,100,100 B,2000,0,0.867,0.82,1.044,1.399,0.005,0.005,0.274,0.698,39.171
3,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.917,0.871,1.106,1.789,0.005,0.005,0.295,0.726,40.471
3,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,10.31,9.76,11.823,14.954,0.006,0.008,4.065,6.639,61.565
4,seccomp,small,100,100 B,2000,0,0.864,0.825,1.035,1.137,0.005,0.005,0.271,0.698,38.849
