system,attack_type,scenario_group,attack_case,mode,attack_profile,status,decision,error,latency_ms,unauthorized_success,expected_reject,invariant_violated
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.375,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.128,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,0.803,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.394,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.276,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,0.783,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,2.547,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,2.287,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,0.789,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.35,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.238,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,0.794,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.168,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.242,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,0.778,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.125,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.192,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,0.759,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.072,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.165,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,0.826,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.186,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.381,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,0.847,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.282,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.629,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,0.748,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.417,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.292,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,0.811,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.24,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.74,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,0.794,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.174,1,1,1
