system,agents,concurrency,runs,measurement_seconds,requests_mean,errors_mean,throughput_rps,throughput_rps_std,throughput_rps_ci_lo,throughput_rps_ci_hi,error_rate,error_rate_std,error_rate_ci_lo,error_rate_ci_hi,latency_avg_ms,latency_avg_ms_std,latency_avg_ms_ci_lo,latency_avg_ms_ci_hi,latency_p50_ms,latency_p50_ms_std,latency_p50_ms_ci_lo,latency_p50_ms_ci_hi,latency_p95_ms,latency_p95_ms_std,latency_p95_ms_ci_lo,latency_p95_ms_ci_hi,latency_p99_ms,latency_p99_ms_std,latency_p99_ms_ci_lo,latency_p99_ms_ci_hi,throughput_pvalue_vs_userspace,latency_p95_pvalue_vs_userspace
kernel,1,1,5,30.0,15080.8,0.0,502.693,268.298,267.52,737.867,0.0,0.0,0.0,0.0,2.549,1.425,1.3,3.799,1.872,0.914,1.07,2.673,5.137,3.416,2.143,8.132,14.841,14.092,2.489,27.193,0.685538,0.790276
kernel,1,10,5,30.0,12559.6,0.0,418.653,191.295,250.976,586.331,0.0,0.0,0.0,0.0,27.839,10.891,18.293,37.385,22.738,7.523,16.144,29.333,60.509,30.237,34.005,87.012,89.64,37.309,56.938,122.342,0.948416,0.761407
kernel,1,50,5,30.0,11916.0,0.0,397.2,160.999,256.078,538.322,0.0,0.0,0.0,0.0,142.484,51.404,97.426,187.542,134.859,51.504,89.714,180.004,274.928,103.699,184.032,365.823,368.665,137.847,247.837,489.493,0.288788,0.401317
kernel,1,100,5,30.0,11796.4,0.0,393.213,150.552,261.249,525.178,0.0,0.0,0.0,0.0,284.79,102.01,195.375,374.206,275.124,103.056,184.792,365.456,576.716,213.612,389.476,763.955,758.473,317.099,480.524,1036.423,0.26572,0.599321
kernel,5,1,5,30.0,10527.8,0.0,350.927,156.612,213.65,488.203,0.0,0.0,0.0,0.0,3.325,1.397,2.1,4.549,2.378,0.848,1.636,3.121,6.869,3.367,3.918,9.821,22.177,16.67,7.564,36.789,0.050176,0.061845
kernel,5,10,5,30.0,10927.4,0.0,364.247,165.359,219.303,509.19,0.0,0.0,0.0,0.0,31.975,12.56,20.966,42.984,24.95,7.998,17.939,31.961,74.114,37.91,40.885,107.344,119.69,52.288,73.857,165.523,0.092787,0.132485
kernel,5,50,5,30.0,11615.8,0.0,387.193,165.932,241.748,532.639,0.0,0.0,0.0,0.0,146.78,52.536,100.73,192.83,140.364,53.913,93.107,187.62,290.097,110.327,193.391,386.803,392.347,148.949,261.788,522.907,0.559274,0.760058
kernel,5,100,5,30.0,11410.8,0.0,380.36,173.544,228.242,532.478,0.0,0.0,0.0,0.0,305.849,119.054,201.493,410.204,297.71,116.864,195.274,400.145,605.928,241.118,394.579,817.278,780.139,321.108,498.675,1061.603,0.477295,0.643781
kernel,10,1,5,30.0,9806.4,0.0,326.88,126.047,216.395,437.365,0.0,0.0,0.0,0.0,3.413,1.227,2.337,4.488,2.378,0.683,1.779,2.976,7.061,3.499,3.994,10.129,24.916,15.032,11.74,38.092,0.683351,0.876971
kernel,10,10,5,30.0,12286.2,0.0,409.54,94.038,327.112,491.968,0.0,0.0,0.0,0.0,25.928,8.368,18.594,33.263,22.119,5.584,17.225,27.014,53.265,22.708,33.361,73.17,83.597,28.001,59.053,108.141,0.839263,0.487075
kernel,10,50,5,30.0,14483.2,0.0,482.773,147.02,353.904,611.642,0.0,0.0,0.0,0.0,114.9,47.847,72.96,156.84,109.456,48.497,66.947,151.965,218.561,91.563,138.302,298.82,301.148,113.497,201.664,400.632,0.433529,0.25596
kernel,10,100,5,30.0,13170.0,0.0,439.0,161.769,297.203,580.797,0.0,0.0,0.0,0.0,258.735,106.837,165.089,352.382,248.574,115.505,147.329,349.818,532.425,208.201,349.929,714.921,663.366,223.929,467.084,859.648,0.369191,0.298679
kernel,20,1,5,30.0,12102.6,0.0,403.42,193.81,233.538,573.302,0.0,0.0,0.0,0.0,3.027,1.517,1.697,4.356,2.195,0.878,1.426,2.964,6.21,3.858,2.829,9.592,19.886,18.595,3.587,36.184,0.52354,0.461755
kernel,20,10,5,30.0,13220.4,0.0,440.68,160.139,300.312,581.048,0.0,0.0,0.0,0.0,25.189,8.916,17.374,33.005,20.899,6.176,15.486,26.312,56.656,27.667,32.405,80.907,88.982,34.154,59.045,118.92,0.358018,0.332771
kernel,20,50,5,30.0,14701.0,0.0,490.033,139.729,367.555,612.511,0.0,0.0,0.0,0.0,109.884,35.568,78.708,141.061,100.743,34.251,70.721,130.766,218.224,75.641,151.922,284.526,321.818,102.03,232.385,411.251,0.108761,0.052888
kernel,20,100,5,30.0,16040.6,0.0,534.687,155.453,398.426,670.947,0.0,0.0,0.0,0.0,204.262,76.714,137.019,271.505,198.971,78.597,130.078,267.865,399.869,159.698,259.888,539.85,510.284,206.12,329.612,690.956,0.069059,0.045115
kernel,50,1,5,30.0,14783.2,0.0,492.773,124.884,383.308,602.239,0.0,0.0,0.0,0.0,2.137,0.589,1.62,2.653,1.645,0.508,1.2,2.09,4.155,1.288,3.026,5.284,8.021,3.058,5.34,10.701,0.014872,0.017999
