system,attack_type,attack_case,attempts,successes,success_rate
kernel,escalation,approval_required_bypass,20,0,0.0
kernel,escalation,invalid_session_hash_bypass,20,0,0.0
kernel,replay,cross_agent_ticket_reuse,20,0,0.0
kernel,replay,cross_tool_ticket_reuse,20,0,0.0
kernel,replay,denied_ticket_reuse,20,0,0.0
kernel,replay,expired_ticket_replay,20,0,0.0
kernel,replay,forged_approval_ticket,20,0,0.0
kernel,spoof,expired_session,20,0,0.0
kernel,spoof,fake_session_id,20,0,0.0
kernel,spoof,session_token_theft,20,0,0.0
kernel,substitute,hash_mismatch,20,0,0.0
kernel,substitute,stale_catalog_replay,20,0,0.0
kernel,substitute,wrong_app_binding,20,0,0.0
seccomp,escalation,approval_required_bypass,20,0,0.0
seccomp,escalation,invalid_session_hash_bypass,20,20,1.0
seccomp,replay,cross_agent_ticket_reuse,20,0,0.0
seccomp,replay,cross_tool_ticket_reuse,20,0,0.0
seccomp,replay,denied_ticket_reuse,20,0,0.0
seccomp,replay,expired_ticket_replay,20,0,0.0
seccomp,replay,forged_approval_ticket,20,0,0.0
seccomp,spoof,expired_session,20,20,1.0
seccomp,spoof,fake_session_id,20,20,1.0
seccomp,spoof,session_token_theft,20,0,0.0
seccomp,substitute,hash_mismatch,20,20,1.0
seccomp,substitute,stale_catalog_replay,20,20,1.0
seccomp,substitute,wrong_app_binding,20,0,0.0
userspace,escalation,approval_required_bypass,20,20,1.0
userspace,escalation,invalid_session_hash_bypass,20,20,1.0
userspace,replay,cross_agent_ticket_reuse,20,20,1.0
userspace,replay,cross_tool_ticket_reuse,20,0,0.0
userspace,replay,denied_ticket_reuse,20,20,1.0
userspace,replay,expired_ticket_replay,20,20,1.0
userspace,replay,forged_approval_ticket,20,20,1.0
userspace,spoof,expired_session,20,20,1.0
userspace,spoof,fake_session_id,20,20,1.0
userspace,spoof,session_token_theft,20,0,0.0
userspace,substitute,hash_mismatch,20,20,1.0
userspace,substitute,stale_catalog_replay,20,20,1.0
userspace,substitute,wrong_app_binding,20,20,1.0
