repetition,system,agents,concurrency,measurement_seconds,requests,errors,error_rate,throughput_rps,throughput_std_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
1,userspace,1,1,30.0,33080,0,0.0,1102.667,28.434,0.903,0.897,0.98,1.155
1,userspace,1,10,30.0,34157,0,0.0,1138.567,14.34,8.778,8.724,10.116,11.085
1,userspace,1,50,30.0,36547,0,0.0,1218.233,15.835,41.031,40.929,43.544,75.33
1,userspace,1,100,30.0,36322,0,0.0,1210.733,11.942,82.569,82.434,86.572,158.222
1,userspace,5,1,30.0,33371,0,0.0,1112.367,3.7,0.895,0.9,0.965,1.014
1,userspace,5,10,30.0,34184,0,0.0,1139.467,14.231,8.771,8.712,10.058,10.995
1,userspace,5,50,30.0,36661,0,0.0,1222.033,8.487,40.906,40.884,43.481,45.883
1,userspace,5,100,30.0,36569,0,0.0,1218.967,7.815,82.002,81.933,86.097,156.89
1,userspace,10,1,30.0,33302,0,0.0,1110.067,7.046,0.897,0.902,0.968,1.016
1,userspace,10,10,30.0,34139,0,0.0,1137.967,4.824,8.783,8.742,10.088,10.941
1,userspace,10,50,30.0,36361,0,0.0,1212.033,24.06,41.239,41.077,43.987,68.875
1,userspace,10,100,30.0,36583,0,0.0,1219.433,9.594,81.991,81.885,86.383,156.811
1,userspace,20,1,30.0,33258,0,0.0,1108.6,3.47,0.898,0.903,0.968,1.023
1,userspace,20,10,30.0,33735,0,0.0,1124.5,6.796,8.888,8.843,10.234,11.123
1,userspace,20,50,30.0,36329,0,0.0,1210.967,18.169,41.281,41.174,43.757,62.324
1,userspace,20,100,30.0,36262,0,0.0,1208.733,21.512,82.705,82.461,86.624,160.048
1,userspace,50,1,30.0,32857,0,0.0,1095.233,2.373,0.909,0.915,0.98,1.032
1,userspace,50,10,30.0,33617,0,0.0,1120.567,19.936,8.919,8.86,10.297,11.23
1,userspace,50,50,30.0,36228,0,0.0,1207.6,7.204,41.396,41.349,44.116,46.145
1,userspace,50,100,30.0,36232,0,0.0,1207.733,9.45,82.778,82.695,87.105,92.603
1,seccomp,1,1,30.0,32808,0,0.0,1093.6,3.18,0.91,0.916,0.979,1.031
1,seccomp,1,10,30.0,31327,0,0.0,1044.233,4.932,9.571,9.491,11.246,12.321
1,seccomp,1,50,30.0,33530,0,0.0,1117.667,13.677,44.726,44.606,48.031,55.428
1,seccomp,1,100,30.0,25139,0,0.0,837.967,93.48,119.345,120.758,137.05,189.519
