metric,system,agents,concurrency,n,mean_rps,mean_rps_ci_lo,mean_rps_ci_hi,mean_p99_ms,mean_p99_ci_lo,mean_p99_ci_hi
scalability,kernel,1,1,5,1071.147,1069.346,1072.78,1.0708,1.0584,1.0892
scalability,kernel,1,10,5,1009.413,1005.567,1013.18,13.0346,12.7742,13.27823
scalability,kernel,1,100,5,1103.733,1099.22,1108.866,142.6054,113.7484,171.4624
scalability,kernel,1,50,5,1096.227,1091.553,1100.92,53.7858,51.202745,57.9896
scalability,kernel,10,1,5,1080.353,1052.44,1123.7,1.128,1.0426,1.2596
scalability,kernel,10,10,5,1028.307,1006.182,1057.8,12.8052,12.5168,13.0936
scalability,kernel,10,100,5,1136.787,1093.8,1187.26,125.407,97.5366,153.2704
scalability,kernel,10,50,5,1124.107,1090.453,1170.253,58.9618,50.6366,68.051
scalability,kernel,20,1,5,1060.673,1058.413,1063.44,1.0726,1.0668,1.0776
scalability,kernel,20,10,5,1003.173,999.526,1006.68,12.7886,12.601,13.0994
scalability,kernel,20,100,5,1093.467,1086.96,1100.993,117.1066,100.307,145.6984
scalability,kernel,20,50,5,1092.147,1088.233,1096.267,54.1472,51.5892,58.2906
scalability,kernel,5,1,5,1066.193,1059.073,1072.006,1.0806,1.0634,1.1006
scalability,kernel,5,10,5,1025.207,1013.167,1048.24,12.511,12.34124,12.6462
scalability,kernel,5,100,5,1097.06,1089.92,1104.2,150.9464,126.3574,174.6934
scalability,kernel,5,50,5,1112.48,1092.227,1147.029,53.528,50.840175,58.4834
scalability,kernel,50,1,5,1048.047,1045.62,1050.78,1.0884,1.0814,1.0992
scalability,kernel,50,10,5,1003.053,1000.647,1005.42,12.6704,12.617525,12.7226
scalability,kernel,50,100,5,1085.047,1081.728,1088.887,107.0568,100.5456,115.0136
scalability,kernel,50,50,5,1086.207,1081.406,1091.38,58.4408,53.678,63.2036
scalability,seccomp,1,1,5,1088.54,1085.007,1092.327,1.0504,1.0342,1.0748
scalability,seccomp,1,10,5,1036.947,1032.44,1041.42,12.672,12.4344,12.9414
scalability,seccomp,1,100,5,1072.52,953.7,1136.76,171.979,166.4486,181.1022
scalability,seccomp,1,50,5,1123.547,1117.554,1131.534,56.9376,51.1456,66.2316
scalability,seccomp,10,1,5,1079.2,1076.444,1082.753,1.05,1.0436,1.0556
scalability,seccomp,10,10,5,1047.18,1030.687,1064.674,12.8012,12.489,13.2422
scalability,seccomp,10,100,5,1125.787,1122.952,1129.527,150.912,124.87628,165.192035
scalability,seccomp,10,50,5,1113.0,1094.667,1128.995,56.7468,52.32527,61.3146
scalability,seccomp,20,1,5,1100.947,1079.747,1121.747,1.0618,1.03619,1.1018
scalability,seccomp,20,10,5,1054.38,1031.107,1078.4,12.9532,12.4402,13.8088
scalability,seccomp,20,100,5,1200.393,1141.98,1258.64,158.049,149.25136,167.2138
scalability,seccomp,20,50,5,1175.9,1128.707,1223.86,56.5682,50.9412,62.8528
scalability,seccomp,5,1,5,1069.353,1040.233,1086.08,1.0868,1.0412,1.17422
scalability,seccomp,5,10,5,1037.64,1031.56,1042.487,12.7468,12.4986,13.126
scalability,seccomp,5,100,5,1152.68,1125.453,1187.353,163.7618,157.1216,169.7078
scalability,seccomp,5,50,5,1134.24,1123.274,1149.687,54.835,50.237275,59.9308
scalability,seccomp,50,1,5,1067.353,1061.92,1071.694,1.0618,1.0558,1.0676
scalability,seccomp,50,10,5,1020.16,1011.973,1027.74,13.1516,12.594,14.0718
scalability,seccomp,50,100,5,1112.453,1106.14,1120.233,128.5494,105.3496,151.7492
scalability,seccomp,50,50,5,1102.12,1096.26,1109.073,57.6258,53.3242,62.1216
scalability,userspace,1,1,5,1117.534,1109.567,1122.78,1.0402,1.00679,1.0994
scalability,userspace,1,10,5,1145.953,1141.407,1150.626,10.9354,10.854715,11.02772
scalability,userspace,1,100,5,1213.36,1206.067,1222.845,158.3984,157.1116,159.537
scalability,userspace,1,50,5,1215.647,1211.96,1219.333,59.0084,47.5582,70.4586
scalability,userspace,10,1,5,1112.753,1110.12,1115.347,1.0174,1.0142,1.0212
scalability,userspace,10,10,5,1140.274,1136.58,1144.947,10.9672,10.9242,11.0062
scalability,userspace,10,100,5,1217.333,1211.073,1223.407,148.9728,132.2422,157.9184
scalability,userspace,10,50,5,1215.747,1209.907,1220.467,62.0332,52.1746,71.0774
scalability,userspace,20,1,5,1104.84,1100.945,1109.46,1.0456,1.0232,1.071045
scalability,userspace,20,10,5,1130.48,1126.96,1133.66,11.0786,10.983,11.199
scalability,userspace,20,100,5,1211.573,1205.853,1218.733,155.4994,149.4098,159.1579
scalability,userspace,20,50,5,1207.507,1203.894,1210.94,57.2384,51.2834,61.5022
scalability,userspace,5,1,5,1109.0,1100.174,1113.989,1.084,1.02256,1.1912
scalability,userspace,5,10,5,1138.613,1133.407,1142.213,11.1918,10.924455,11.5044
scalability,userspace,5,100,5,1218.773,1214.733,1224.433,130.558,103.4878,157.5904
scalability,userspace,5,50,5,1215.94,1209.907,1221.32,58.9354,49.3566,68.5142
scalability,userspace,50,1,5,1090.16,1080.834,1095.307,1.0926,1.0322,1.2092
scalability,userspace,50,10,5,1126.92,1122.9,1131.093,11.119,11.0626,11.182285
scalability,userspace,50,100,5,1207.193,1202.682,1212.94,127.1412,101.918,152.3644
scalability,userspace,50,50,5,1201.747,1191.987,1210.12,50.1932,46.03575,54.3994
