attack_type,system,attempts,successes,success_rate,outcome
spoof,userspace,60,40,0.666667,UNDETECTED
replay,userspace,80,80,1.0,UNDETECTED
substitute,userspace,60,60,1.0,UNDETECTED
escalation,userspace,20,20,1.0,UNDETECTED
spoof,seccomp,60,40,0.666667,UNDETECTED
replay,seccomp,80,0,0.0,BLOCKED
substitute,seccomp,60,40,0.666667,UNDETECTED
escalation,seccomp,20,0,0.0,BLOCKED
spoof,kernel,60,0,0.0,BLOCKED
replay,kernel,80,0,0.0,BLOCKED
substitute,kernel,60,0,0.0,BLOCKED
escalation,kernel,20,0,0.0,BLOCKED
