system,attack_type,scenario_group,attack_case,mode,attack_profile,status,decision,error,latency_ms,unauthorized_success,expected_reject,invariant_violated
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,4.027,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,5.358,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.074,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,3.455,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.725,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.151,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.551,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,4.371,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,2.523,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.54,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,2.5,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,4.301,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.846,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,2.07,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.539,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.651,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,2.85,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.186,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,4.782,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.846,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.199,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,4.446,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.857,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.458,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,2.755,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.619,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.43,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.715,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.862,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,2.251,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.9,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,2.116,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.221,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,2.292,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,2.66,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.631,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,4.268,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,1.647,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,0.968,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,2.11,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,2.259,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.514,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,3.77,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,3.796,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,1.457,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,2.723,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,3.769,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,2.146,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,1.91,1,1,1
userspace,spoof,A,expired_session,userspace,tamper_session,ok,ALLOW,,2.301,1,1,1
userspace,spoof,A,session_token_theft,userspace,tamper_session,error,,agent_id is bound to a different peer identity,3.411,0,1,0
userspace,spoof,A,fake_session_id,userspace,tamper_session,ok,ALLOW,,32.057,1,1,1
