repetition,system,payload_label,payload_bytes,payload_display,requests,errors,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,session_lookup_ms,arbitration_ms,tool_exec_ms,total_ms,tool_exec_share_pct
1,userspace,small,100,100 B,500,0,2.733,1.962,5.926,10.436,0.013,0.012,1.059,2.017,45.823
1,userspace,medium,10240,"10 KB (10,240 B)",500,0,2.531,1.948,5.003,8.712,0.012,0.01,0.907,1.919,46.42
1,userspace,large,1048576,"1 MB (1,048,576 B)",500,0,17.851,16.181,25.626,59.97,0.02,0.055,8.788,9.997,88.317
2,userspace,small,100,100 B,500,0,2.448,1.881,4.657,7.176,0.013,0.01,0.914,1.923,44.568
2,userspace,medium,10240,"10 KB (10,240 B)",500,0,2.215,1.862,4.48,6.348,0.012,0.01,0.828,1.726,46.461
2,userspace,large,1048576,"1 MB (1,048,576 B)",500,0,16.548,15.321,21.976,52.107,0.02,0.012,7.879,8.997,87.827
1,seccomp,small,100,100 B,500,0,2.793,2.066,6.102,12.176,0.014,0.012,0.93,1.995,44.08
1,seccomp,medium,10240,"10 KB (10,240 B)",500,0,2.54,2.047,4.65,7.304,0.017,0.01,0.865,1.803,46.386
1,seccomp,large,1048576,"1 MB (1,048,576 B)",500,0,19.286,18.135,23.769,58.486,0.018,0.018,7.376,11.984,62.073
2,seccomp,small,100,100 B,500,0,2.247,1.889,4.371,6.247,0.013,0.011,0.785,1.662,45.05
2,seccomp,medium,10240,"10 KB (10,240 B)",500,0,2.504,1.972,4.618,6.481,0.016,0.01,0.849,1.787,46.398
2,seccomp,large,1048576,"1 MB (1,048,576 B)",500,0,18.657,17.355,24.203,56.718,0.019,0.017,7.209,11.591,62.042
1,kernel,small,100,100 B,500,0,2.101,1.676,4.299,5.93,0.016,0.066,0.754,1.617,43.386
1,kernel,medium,10240,"10 KB (10,240 B)",500,0,2.325,1.767,4.648,10.135,0.011,0.072,0.857,1.745,45.422
1,kernel,large,1048576,"1 MB (1,048,576 B)",500,0,14.936,13.683,20.666,48.746,0.029,0.119,7.501,8.586,87.362
2,kernel,small,100,100 B,500,0,2.223,1.753,4.631,7.132,0.011,0.116,0.782,1.758,43.703
2,kernel,medium,10240,"10 KB (10,240 B)",500,0,2.09,1.726,3.995,6.874,0.01,0.061,0.73,1.613,44.701
2,kernel,large,1048576,"1 MB (1,048,576 B)",500,0,14.26,13.237,18.65,45.574,0.018,0.107,7.267,8.295,87.401
