repetition,system,agents,concurrency,measurement_seconds,requests,errors,error_rate,throughput_rps,throughput_std_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
1,userspace,1,1,4.0,1840,0,0.0,460.0,25.807,2.162,1.707,4.15,6.476
1,userspace,1,10,4.0,2140,0,0.0,535.0,24.0,18.527,17.125,30.633,53.569
1,userspace,1,50,4.0,2104,0,0.0,526.0,11.69,95.029,89.603,175.721,239.423
1,userspace,1,100,4.0,2184,0,0.0,546.0,15.811,181.285,172.574,352.754,429.47
1,userspace,5,1,4.0,1942,0,0.0,485.5,8.851,2.05,1.642,3.954,5.855
1,userspace,5,10,4.0,2100,0,0.0,525.0,14.72,19.029,17.419,32.242,60.069
1,userspace,5,50,4.0,2155,0,0.0,538.75,9.535,92.332,87.25,174.443,218.142
1,userspace,5,100,4.0,2060,0,0.0,515.0,34.612,191.599,184.618,365.528,490.2
1,userspace,10,1,4.0,1682,0,0.0,420.5,21.61,2.366,1.883,4.637,7.245
1,userspace,10,10,4.0,2026,0,0.0,506.5,20.042,19.727,18.221,32.088,64.05
1,userspace,10,50,4.0,1973,0,0.0,493.25,28.779,101.491,94.132,185.64,251.707
1,userspace,10,100,4.0,1756,0,0.0,439.0,39.9,224.359,220.561,424.981,592.036
1,userspace,20,1,4.0,1648,0,0.0,412.0,11.045,2.414,1.913,4.852,8.087
1,userspace,20,10,4.0,2052,0,0.0,513.0,20.199,19.482,17.922,32.113,68.162
1,userspace,20,50,4.0,2130,0,0.0,532.5,27.695,92.088,86.136,170.033,233.424
1,userspace,20,100,4.0,2052,0,0.0,513.0,21.556,190.456,182.917,347.114,459.922
1,userspace,50,1,4.0,1769,0,0.0,442.25,28.826,2.25,1.785,4.473,7.291
1,userspace,50,10,4.0,2038,0,0.0,509.5,14.248,19.596,18.102,33.132,70.567
1,userspace,50,50,4.0,2089,0,0.0,522.25,24.851,94.711,91.309,174.527,224.92
1,userspace,50,100,4.0,2186,0,0.0,546.5,31.984,181.779,174.89,353.814,425.275
2,userspace,1,1,4.0,1832,0,0.0,458.0,9.967,2.172,1.718,4.284,6.979
2,userspace,1,10,4.0,2117,0,0.0,529.25,32.989,18.871,17.461,31.381,62.194
2,userspace,1,50,4.0,2263,0,0.0,565.75,11.815,88.34,83.779,159.367,212.958
2,userspace,1,100,4.0,2166,0,0.0,541.5,11.733,181.895,171.413,338.3,457.681
2,userspace,5,1,4.0,1931,0,0.0,482.75,22.456,2.059,1.656,4.09,6.613
2,userspace,5,10,4.0,2097,0,0.0,524.25,12.79,19.05,17.678,32.767,57.022
2,userspace,5,50,4.0,2163,0,0.0,540.75,23.991,92.838,86.42,177.287,227.74
2,userspace,5,100,4.0,2096,0,0.0,524.0,37.815,188.991,182.707,362.356,460.362
2,userspace,10,1,4.0,1850,0,0.0,462.5,21.299,2.15,1.713,4.287,7.003
2,userspace,10,10,4.0,2127,0,0.0,531.75,13.326,18.783,17.483,30.852,58.137
2,userspace,10,50,4.0,2171,0,0.0,542.75,9.535,91.635,86.821,166.224,217.4
2,userspace,10,100,4.0,2164,0,0.0,541.0,43.52,183.56,177.745,356.24,423.484
2,userspace,20,1,4.0,1879,0,0.0,469.75,22.127,2.118,1.712,4.212,6.704
2,userspace,20,10,4.0,2116,0,0.0,529.0,32.975,18.833,17.454,31.028,56.858
2,userspace,20,50,4.0,2165,0,0.0,541.25,26.949,93.097,90.201,178.284,209.718
2,userspace,20,100,4.0,2129,0,0.0,532.25,49.507,186.342,178.044,367.693,447.437
2,userspace,50,1,4.0,1773,0,0.0,443.25,35.79,2.245,1.749,4.504,7.625
2,userspace,50,10,4.0,2165,0,0.0,541.25,28.076,18.453,16.988,31.556,63.666
2,userspace,50,50,4.0,2245,0,0.0,561.25,25.224,89.067,82.457,158.167,228.935
2,userspace,50,100,4.0,2343,0,0.0,585.75,27.22,168.956,163.99,320.494,371.121
1,seccomp,1,1,4.0,1720,0,0.0,430.0,21.649,2.311,1.832,4.586,6.768
1,seccomp,1,10,4.0,2004,0,0.0,501.0,15.663,19.958,18.423,33.434,64.869
1,seccomp,1,50,4.0,2043,0,0.0,510.75,35.17,97.307,94.348,191.986,256.276
1,seccomp,1,100,4.0,1975,0,0.0,493.75,18.59,200.641,195.427,400.57,455.512
1,seccomp,5,1,4.0,1775,0,0.0,443.75,18.998,2.232,1.803,4.259,6.247
1,seccomp,5,10,4.0,1967,0,0.0,491.75,26.235,20.311,19.04,34.267,68.722
