system,agents,concurrency,runs,measurement_seconds,requests_mean,errors_mean,throughput_rps,throughput_rps_std,throughput_rps_ci_lo,throughput_rps_ci_hi,error_rate,error_rate_std,error_rate_ci_lo,error_rate_ci_hi,latency_avg_ms,latency_avg_ms_std,latency_avg_ms_ci_lo,latency_avg_ms_ci_hi,latency_p50_ms,latency_p50_ms_std,latency_p50_ms_ci_lo,latency_p50_ms_ci_hi,latency_p95_ms,latency_p95_ms_std,latency_p95_ms_ci_lo,latency_p95_ms_ci_hi,latency_p99_ms,latency_p99_ms_std,latency_p99_ms_ci_lo,latency_p99_ms_ci_hi,throughput_pvalue_vs_userspace,latency_p95_pvalue_vs_userspace
kernel,1,1,2,4.0,1998.0,0.0,499.5,4.95,492.64,506.36,0.0,0.0,0.0,0.0,1.992,0.02,1.965,2.019,1.592,0.021,1.563,1.621,3.955,0.219,3.651,4.259,6.131,0.296,5.721,6.542,0.0,0.120764
kernel,1,10,2,4.0,2053.0,0.0,513.25,35.709,463.76,562.74,0.0,0.0,0.0,0.0,19.523,1.323,17.689,21.356,17.839,0.795,16.737,18.941,33.552,2.956,29.456,37.648,65.203,1.394,63.271,67.134,0.457648,0.230659
kernel,1,50,2,4.0,2200.5,0.0,550.125,3.359,545.47,554.78,0.0,0.0,0.0,0.0,90.672,0.729,89.662,91.683,84.772,0.422,84.186,85.357,168.188,2.457,164.783,171.594,228.067,14.487,207.989,248.145,0.831853,0.938546
kernel,1,100,2,4.0,2195.0,0.0,548.75,3.182,544.34,553.16,0.0,0.0,0.0,0.0,181.329,1.522,179.22,183.438,174.72,3.422,169.977,179.463,361.212,2.572,357.647,364.777,415.885,9.142,403.214,428.555,0.116102,0.035318
kernel,5,1,2,4.0,1996.5,0.0,499.125,4.419,493.0,505.25,0.0,0.0,0.0,0.0,1.992,0.018,1.967,2.016,1.605,0.033,1.56,1.65,3.962,0.095,3.831,4.093,6.035,0.115,5.876,6.195,1.1e-05,0.529662
kernel,5,10,2,4.0,2147.0,0.0,536.75,8.839,524.5,549.0,0.0,0.0,0.0,0.0,18.658,0.229,18.34,18.976,17.346,0.424,16.758,17.933,30.923,0.09,30.799,31.048,62.106,0.041,62.049,62.163,0.052804,0.0
kernel,5,50,2,4.0,2262.5,0.0,565.625,3.359,560.97,570.28,0.0,0.0,0.0,0.0,88.185,0.474,87.528,88.843,84.156,0.395,83.608,84.703,159.439,3.782,154.196,164.681,201.332,1.812,198.821,203.843,0.0,0.0
kernel,5,100,2,4.0,2176.5,0.0,544.125,3.359,539.47,548.78,0.0,0.0,0.0,0.0,181.541,2.28,178.38,184.701,175.492,4.41,169.379,181.604,340.303,0.759,339.251,341.354,444.707,23.315,412.394,477.02,1e-06,0.0
kernel,10,1,2,4.0,1986.0,0.0,496.5,11.314,480.82,512.18,0.0,0.0,0.0,0.0,1.997,0.055,1.921,2.073,1.614,0.03,1.573,1.655,3.961,0.214,3.665,4.257,6.286,0.32,5.843,6.729,0.014386,0.030196
kernel,10,10,2,4.0,2127.0,0.0,531.75,0.354,531.26,532.24,0.0,0.0,0.0,0.0,18.773,0.012,18.756,18.789,17.574,0.074,17.472,17.676,30.485,0.215,30.187,30.783,56.313,1.116,54.767,57.859,0.317405,0.121689
