sample_index,bare_rtt_ms,full_rtt_ms,lookup_overhead_ms
1,0.009166,0.0095,0.000334
2,0.008875,0.007209,-0.001666
3,0.008584,0.006917,-0.001667
4,0.008625,0.007209,-0.001416
5,0.008959,0.006917,-0.002042
6,0.0085,0.006875,-0.001625
7,0.008625,0.006917,-0.001708
8,0.0085,0.006833,-0.001667
9,0.008583,0.006916,-0.001667
10,0.008583,0.006875,-0.001708
11,0.008834,0.006875,-0.001959
12,0.008625,0.006834,-0.001791
13,0.008584,0.006708,-0.001876
14,0.009,0.00675,-0.00225
15,0.008583,0.006792,-0.001791
16,0.008542,0.006792,-0.00175
17,0.008542,0.006792,-0.00175
18,0.0085,0.006791,-0.001709
19,0.0085,0.006833,-0.001667
20,0.008625,0.007,-0.001625
21,0.008875,0.00675,-0.002125
22,0.008583,0.006792,-0.001791
23,0.008625,0.006875,-0.00175
24,0.008584,0.006833,-0.001751
25,0.008542,0.00675,-0.001792
26,0.008625,0.006708,-0.001917
27,0.008583,0.00675,-0.001833
28,0.008541,0.006709,-0.001832
29,0.008625,0.006709,-0.001916
30,0.008625,0.006875,-0.00175
31,0.008541,0.006792,-0.001749
32,0.008625,0.00675,-0.001875
33,0.008542,0.00675,-0.001792
34,0.008583,0.006834,-0.001749
35,0.008458,0.00675,-0.001708
36,0.008625,0.007,-0.001625
37,0.008875,0.006833,-0.002042
38,0.008625,0.006834,-0.001791
39,0.008667,0.006875,-0.001792
40,0.00875,0.006959,-0.001791
41,0.014792,0.006834,-0.007958
42,0.009292,0.006791,-0.002501
43,0.008708,0.006791,-0.001917
44,0.0085,0.006917,-0.001583
45,0.008708,0.006833,-0.001875
46,0.008791,0.006833,-0.001958
47,0.008625,0.006875,-0.00175
48,0.008708,0.012291,0.003583
49,0.008625,0.007083,-0.001542
50,0.00875,0.006834,-0.001916
51,0.008625,0.00675,-0.001875
52,0.008667,0.007125,-0.001542
53,0.008792,0.006875,-0.001917
54,0.008666,0.006792,-0.001874
55,0.008583,0.006792,-0.001791
56,0.008709,0.006875,-0.001834
57,0.0085,0.006958,-0.001542
58,0.008625,0.006833,-0.001792
59,0.008542,0.006834,-0.001708
60,0.008584,0.006875,-0.001709
61,0.008625,0.006834,-0.001791
62,0.008583,0.006834,-0.001749
63,0.008583,0.006958,-0.001625
64,0.008625,0.006875,-0.00175
65,0.008541,0.006917,-0.001624
66,0.00875,0.006834,-0.001916
67,0.008666,0.006792,-0.001874
68,0.008542,0.007,-0.001542
69,0.008875,0.006875,-0.002
70,0.0085,0.006833,-0.001667
71,0.008459,0.006834,-0.001625
72,0.008458,0.006792,-0.001666
73,0.008583,0.006875,-0.001708
74,0.0085,0.006833,-0.001667
75,0.0085,0.006833,-0.001667
76,0.008583,0.006875,-0.001708
77,0.008584,0.006917,-0.001667
