cell_id,system,concurrency,rep,rps,p50_ms,p95_ms,p99_ms,error_rate,knee_c
seccomp-c50-rep1,seccomp,50,1,4.011,4675.8099,19111.9238,19871.8697,0.501385,100.0
seccomp-c400-rep1,seccomp,400,1,1453.739,0.0,0.0,0.0,1.0,100.0
userspace-c100-rep1,userspace,100,1,1696.456,0.0,0.0,0.0,1.0,100.0
kernel-c800-rep1,kernel,800,1,326099.15,0.0,0.0,0.0,1.0,100.0
userspace-c400-rep1,userspace,400,1,333768.5,0.0,0.0,0.0,1.0,100.0
userspace-c800-rep1,userspace,800,1,1061527.639,0.0,0.0,0.0,1.0,100.0
kernel-c200-rep1,kernel,200,1,2060.333,0.0,0.0,0.0,1.0,100.0
userspace-c50-rep1,userspace,50,1,2018.056,0.0,0.0,0.0,1.0,100.0
seccomp-c800-rep1,seccomp,800,1,1773.894,0.0,0.0,0.0,1.0,100.0
kernel-c50-rep1,kernel,50,1,2202.072,0.0,0.0,0.0,1.0,100.0
seccomp-c200-rep1,seccomp,200,1,1776.261,0.0,0.0,0.0,1.0,100.0
userspace-c200-rep1,userspace,200,1,2146.478,0.0,0.0,0.0,1.0,100.0
seccomp-c100-rep1,seccomp,100,1,2094.989,0.0,0.0,0.0,1.0,100.0
kernel-c100-rep1,kernel,100,1,2137.189,0.0,0.0,0.0,1.0,100.0
kernel-c400-rep1,kernel,400,1,1892.728,0.0,0.0,0.0,1.0,100.0
kernel-c200-rep2,kernel,200,2,1817.506,0.0,0.0,0.0,1.0,100.0
seccomp-c400-rep2,seccomp,400,2,1979.211,0.0,0.0,0.0,1.0,100.0
seccomp-c50-rep2,seccomp,50,2,2027.672,0.0,0.0,0.0,1.0,100.0
userspace-c400-rep2,userspace,400,2,2020.961,0.0,0.0,0.0,1.0,100.0
kernel-c800-rep2,kernel,800,2,289042.211,0.0,0.0,0.0,1.0,100.0
kernel-c50-rep2,kernel,50,2,1767.083,0.0,0.0,0.0,1.0,100.0
userspace-c50-rep2,userspace,50,2,2317.578,0.0,0.0,0.0,1.0,100.0
userspace-c800-rep2,userspace,800,2,377604.239,0.0,0.0,0.0,1.0,100.0
userspace-c100-rep2,userspace,100,2,1755.85,0.0,0.0,0.0,1.0,100.0
userspace-c200-rep2,userspace,200,2,1744.422,0.0,0.0,0.0,1.0,100.0
seccomp-c800-rep2,seccomp,800,2,375295.667,0.0,0.0,0.0,1.0,100.0
kernel-c100-rep2,kernel,100,2,2131.661,0.0,0.0,0.0,1.0,100.0
kernel-c400-rep2,kernel,400,2,1863.289,0.0,0.0,0.0,1.0,100.0
seccomp-c100-rep2,seccomp,100,2,2210.233,0.0,0.0,0.0,1.0,100.0
seccomp-c200-rep2,seccomp,200,2,2034.206,0.0,0.0,0.0,1.0,100.0
kernel-c200-rep3,kernel,200,3,2041.261,0.0,0.0,0.0,1.0,100.0
kernel-c400-rep3,kernel,400,3,1824.467,0.0,0.0,0.0,1.0,100.0
kernel-c100-rep3,kernel,100,3,1825.089,0.0,0.0,0.0,1.0,100.0
userspace-c400-rep3,userspace,400,3,1988.567,0.0,0.0,0.0,1.0,100.0
seccomp-c100-rep3,seccomp,100,3,2188.517,0.0,0.0,0.0,1.0,100.0
seccomp-c50-rep3,seccomp,50,3,2194.217,0.0,0.0,0.0,1.0,100.0
seccomp-c800-rep3,seccomp,800,3,369244.878,0.0,0.0,0.0,1.0,100.0
userspace-c50-rep3,userspace,50,3,2296.206,0.0,0.0,0.0,1.0,100.0
kernel-c50-rep3,kernel,50,3,2182.344,0.0,0.0,0.0,1.0,100.0
seccomp-c400-rep3,seccomp,400,3,1944.272,0.0,0.0,0.0,1.0,100.0
userspace-c200-rep3,userspace,200,3,2127.372,0.0,0.0,0.0,1.0,100.0
userspace-c800-rep3,userspace,800,3,402701.344,0.0,0.0,0.0,1.0,100.0
userspace-c100-rep3,userspace,100,3,1716.844,0.0,0.0,0.0,1.0,100.0
seccomp-c200-rep3,seccomp,200,3,2095.45,0.0,0.0,0.0,1.0,100.0
kernel-c800-rep3,kernel,800,3,372870.133,0.0,0.0,0.0,1.0,100.0
