N,reps,register_total_ms_avg,register_total_std_ms,register_per_tool_ms_avg,register_per_tool_us_avg,register_per_tool_us_std,register_per_tool_us_ci95,register_throughput_tools_per_sec,lookup_avg_ms,lookup_std_ms,lookup_ci95_ms,lookup_p50_ms,lookup_p95_ms,lookup_p99_ms,userspace_dict_avg_ms,userspace_dict_p95_ms,sysfs_ls_ms_avg,module_coresize,meminfo_free_delta_kb
8,5,0.061158,0.008115,0.0076448,7.6448,1.0143,0.8891,132703.251,0.007491,0.001978,3.9e-05,0.007167,0.009208,0.013583,6e-05,8.4e-05,0.636367,36864,8064
16,5,0.101392,0.007791,0.006336975,6.337,0.4869,0.4268,158518.453,0.007295,0.001089,2.1e-05,0.007042,0.009083,0.01146,6e-05,8.4e-05,0.511467,36864,3780
32,5,0.187908,0.014185,0.005872131,5.8721,0.4433,0.3885,171012.945,0.007341,0.00285,5.6e-05,0.007,0.008958,0.010583,5.8e-05,8.4e-05,0.605358,36864,7812
64,5,0.365725,0.024425,0.005714453,5.7145,0.3816,0.3345,175626.045,0.007224,0.001249,2.4e-05,0.006959,0.008875,0.011168,6.1e-05,8.4e-05,0.571008,36864,1764
128,5,0.705192,0.017419,0.005509311,5.5093,0.1361,0.1193,181598.887,0.00717,0.002136,4.2e-05,0.006916,0.00825,0.011334,6.2e-05,8.4e-05,0.499983,36864,4788
256,5,1.405417,0.032687,0.005489909,5.4899,0.1277,0.1119,182232.035,0.007096,0.001266,2.5e-05,0.006916,0.008208,0.009916,5.7e-05,8.4e-05,0.48685,36864,-6936
512,5,2.959967,0.074016,0.005781185,5.7812,0.1446,0.1267,173062.392,0.007375,0.003118,6.1e-05,0.007084,0.008416,0.010963,5.9e-05,8.4e-05,0.787108,36864,756
1024,5,5.750567,0.093782,0.005615788,5.6158,0.0916,0.0803,178107.047,0.007644,0.005845,0.000115,0.00725,0.008959,0.012125,6.1e-05,8.4e-05,0.991292,36864,756
2048,5,11.43605,0.29122,0.005584009,5.584,0.1422,0.1246,179175.034,0.007245,0.004927,9.7e-05,0.007042,0.007459,0.010083,6.3e-05,8.4e-05,1.0376,36864,2520
4096,5,25.738192,3.595431,0.006283738,6.2837,0.8778,0.7694,161500.172,0.007671,0.002683,5.3e-05,0.007333,0.008377,0.020417,7.5e-05,0.000125,2.570442,36864,-26744
8192,5,48.021717,2.606181,0.005862026,5.862,0.3181,0.2789,170982.329,0.007487,0.00175,3.4e-05,0.007208,0.008333,0.011542,7.2e-05,8.4e-05,3.960067,36864,-12464
16384,5,98.699767,4.922659,0.006024156,6.0242,0.3005,0.2634,166314.401,0.007719,0.001867,3.7e-05,0.007459,0.008583,0.012125,8e-05,0.000125,8.473892,36864,20748
