scenario_group,attack_case,mode,attack_profile,status,decision,error,latency_ms,unauthorized_success,expected_reject,invariant_violated
A,fake_session_id,mcpd,,error,,session not found or expired,1.901,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.284,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.635,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.291,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,1.283,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.311,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.274,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.342,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.29,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.268,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.276,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.256,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.284,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,1.985,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.368,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.435,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.496,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.498,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.276,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.513,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.264,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.175,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,1.655,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.367,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.292,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.42,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.244,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.185,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,1.007,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.247,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.791,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.63,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.583,0,1,0
B,expired_ticket_replay,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.927,0,1,0
B,denied_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,2.087,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,1.189,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.795,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,2.374,0,1,0
B,expired_ticket_replay,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.861,0,1,0
B,denied_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.621,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.767,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.426,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.716,0,1,0
B,expired_ticket_replay,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,5.189,0,1,0
B,denied_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.653,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,1.693,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.602,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,2.102,0,1,0
B,expired_ticket_replay,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,1.597,0,1,0
B,denied_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.085,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.915,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.772,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.578,0,1,0
B,expired_ticket_replay,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,2.048,0,1,0
B,denied_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.137,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.638,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.167,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.692,0,1,0
B,expired_ticket_replay,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.841,0,1,0
B,denied_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.066,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.792,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.661,0,1,0
