scenario_group,attack_case,mode,attempts,policy_violation_rate,bypass_success_rate,forgery_acceptance_rate,detection_rate,reject_rate,invariant_violation_count,reject_latency_avg_ms,reject_latency_p95_ms
A,expired_session,mcpd,10,0.0,0.0,0.0,1.0,1.0,0,0.826,1.836
A,expired_session,userspace_semantic_plane,10,0.0,0.0,0.0,1.0,1.0,0,0.363,0.746
A,expired_session,userspace_tamper_session,10,1.0,1.0,1.0,0.0,0.0,10,4.339,7.851
A,fake_session_id,mcpd,10,0.0,0.0,0.0,1.0,1.0,0,0.438,1.241
A,fake_session_id,userspace_semantic_plane,10,0.0,0.0,0.0,1.0,1.0,0,0.464,1.39
A,fake_session_id,userspace_tamper_session,10,1.0,1.0,1.0,0.0,0.0,10,5.538,13.428
A,session_token_theft,mcpd,10,0.0,0.0,0.0,1.0,1.0,0,0.348,0.573
A,session_token_theft,userspace_semantic_plane,10,0.0,0.0,0.0,1.0,1.0,0,0.859,2.261
A,session_token_theft,userspace_tamper_session,10,0.0,0.0,0.0,1.0,1.0,0,3.559,5.929
B,cross_agent_ticket_reuse,mcpd,10,0.0,0.0,0.0,1.0,1.0,0,1.011,1.691
B,cross_agent_ticket_reuse,userspace_semantic_plane,10,0.0,0.0,0.0,1.0,1.0,0,0.748,1.51
B,cross_agent_ticket_reuse,userspace_tamper_approval,10,1.0,1.0,1.0,0.0,0.0,10,13.055,26.301
B,cross_tool_ticket_reuse,mcpd,10,0.0,0.0,0.0,1.0,1.0,0,1.057,2.252
B,cross_tool_ticket_reuse,userspace_semantic_plane,10,0.0,0.0,0.0,1.0,1.0,0,0.957,2.451
B,cross_tool_ticket_reuse,userspace_tamper_approval,10,1.0,1.0,1.0,0.0,0.0,10,9.108,15.343
B,denied_ticket_reuse,mcpd,10,0.0,0.0,0.0,1.0,1.0,0,1.063,1.77
B,denied_ticket_reuse,userspace_semantic_plane,10,0.0,0.0,0.0,1.0,1.0,0,1.194,2.703
B,denied_ticket_reuse,userspace_tamper_approval,10,1.0,1.0,1.0,0.0,0.0,10,30.03,103.377
B,expired_ticket_replay,mcpd,10,0.0,0.0,0.0,1.0,1.0,0,1.593,3.776
B,expired_ticket_replay,userspace_semantic_plane,10,0.0,0.0,0.0,1.0,1.0,0,1.757,3.793
B,expired_ticket_replay,userspace_tamper_approval,10,1.0,1.0,1.0,0.0,0.0,10,70.252,280.419
B,forged_approval_ticket,mcpd,10,0.0,0.0,0.0,1.0,1.0,0,1.119,1.936
B,forged_approval_ticket,userspace_semantic_plane,10,0.0,0.0,0.0,1.0,1.0,0,1.513,2.645
B,forged_approval_ticket,userspace_tamper_approval,10,1.0,1.0,1.0,0.0,0.0,10,18.927,48.138
C,hash_mismatch,mcpd,10,0.0,0.0,0.0,1.0,1.0,0,0.759,1.025
C,hash_mismatch,userspace_semantic_plane,10,0.0,0.0,0.0,1.0,1.0,0,0.871,1.515
C,hash_mismatch,userspace_tamper_metadata,10,1.0,1.0,1.0,0.0,0.0,10,2.956,5.53
C,stale_catalog_replay,mcpd,10,0.0,0.0,0.0,1.0,1.0,0,1.033,2.602
C,stale_catalog_replay,userspace_semantic_plane,10,0.0,0.0,0.0,1.0,1.0,0,0.698,0.994
C,stale_catalog_replay,userspace_tamper_metadata,10,1.0,1.0,1.0,0.0,0.0,10,4.069,8.092
C,wrong_app_binding,mcpd,10,0.0,0.0,0.0,1.0,1.0,0,0.996,2.323
C,wrong_app_binding,userspace_semantic_plane,10,0.0,0.0,0.0,1.0,1.0,0,1.177,3.689
C,wrong_app_binding,userspace_tamper_metadata,10,1.0,1.0,1.0,0.0,0.0,10,2.51,4.998
D,approval_required_bypass,mcpd,10,0.0,0.0,0.0,1.0,1.0,0,0.251,0.65
D,approval_required_bypass,userspace_compromised,10,1.0,1.0,1.0,0.0,0.0,10,16.668,29.556
D,approval_required_bypass,userspace_semantic_plane,10,0.0,0.0,0.0,1.0,1.0,0,0.257,0.77
D,invalid_session_hash_bypass,mcpd,10,0.0,0.0,0.0,1.0,1.0,0,0.141,0.235
D,invalid_session_hash_bypass,userspace_compromised,10,1.0,1.0,1.0,0.0,0.0,10,3.999,8.086
D,invalid_session_hash_bypass,userspace_semantic_plane,10,0.0,0.0,0.0,1.0,1.0,0,0.387,1.152
E,toctou_hash_mismatch_after_approval,mcpd,10,0.0,0.0,0.0,1.0,1.0,0,0.952,2.183
E,toctou_hash_mismatch_after_approval,userspace_semantic_plane,10,0.0,0.0,0.0,1.0,1.0,0,0.718,1.461
E,toctou_hash_mismatch_after_approval,userspace_tamper_approval,10,0.0,0.0,0.0,1.0,1.0,0,1.55,4.283
E,toctou_tool_swap_after_approval,mcpd,10,0.0,0.0,0.0,1.0,1.0,0,1.189,2.718
E,toctou_tool_swap_after_approval,userspace_semantic_plane,10,0.0,0.0,0.0,1.0,1.0,0,1.307,2.891
E,toctou_tool_swap_after_approval,userspace_tamper_approval,10,1.0,1.0,1.0,0.0,0.0,10,42.684,97.252
E1,direct_risky_tool,direct,1,1.0,1.0,1.0,0.0,0.0,1,63.139,63.139
E1,direct_safe_tool,direct,1,1.0,1.0,1.0,0.0,0.0,1,0.946,0.946
E1,forwarder_fake_session,forwarder_only,1,0.0,0.0,0.0,1.0,1.0,0,1.153,1.153
