mode,attack_profile,malicious_pct,requests,concurrency,legit_throughput_rps,legit_success_rate,legit_p95_ms,attack_acceptance_rate,attack_count
mcpd,,0,200,8,432.882,1.0,31.356,0.0,0
mcpd,,5,200,8,358.053,1.0,52.076,0.0,16
mcpd,,10,200,8,486.647,1.0,27.018,0.0,24
mcpd,,20,200,8,516.801,1.0,22.383,0.0,40
userspace_semantic_plane,,0,200,8,441.967,1.0,32.873,0.0,0
userspace_semantic_plane,,5,200,8,467.329,1.0,29.191,0.0,16
userspace_semantic_plane,,10,200,8,524.283,1.0,22.474,0.0,24
userspace_semantic_plane,,20,200,8,361.474,1.0,48.578,0.0,40
userspace_compromised,compromised_userspace,0,200,8,260.298,1.0,69.903,0.0,0
userspace_compromised,compromised_userspace,5,200,8,5.018,0.88587,10489.195,0.6875,16
userspace_compromised,compromised_userspace,10,200,8,272.991,1.0,51.308,1.0,24
userspace_compromised,compromised_userspace,20,200,8,189.507,1.0,25.252,1.0,40
