scenario_group,attack_case,mode,runs,bypass_success_rate_mean,bypass_success_rate_median,bypass_success_rate_stdev,detection_rate_mean,detection_rate_median,detection_rate_stdev,reject_latency_p95_ms_mean,reject_latency_p95_ms_median,reject_latency_p95_ms_stdev
A,expired_session,mcpd,3,0.0,0.0,0.0,1.0,1.0,0.0,2.121,1.425,2.074497
A,expired_session,userspace_semantic_plane,3,0.0,0.0,0.0,1.0,1.0,0.0,2.699,1.8,2.982896
A,expired_session,userspace_tamper_session,3,1.0,1.0,0.0,0.0,0.0,0.0,9.570667,4.266,9.768636
A,fake_session_id,mcpd,3,0.0,0.0,0.0,1.0,1.0,0.0,3.487,2.036,3.556868
A,fake_session_id,userspace_semantic_plane,3,0.0,0.0,0.0,1.0,1.0,0.0,2.143333,0.828,2.422524
A,fake_session_id,userspace_tamper_session,3,1.0,1.0,0.0,0.0,0.0,0.0,17.814667,5.532,23.006693
A,session_token_theft,mcpd,3,0.0,0.0,0.0,1.0,1.0,0.0,3.898,3.035,3.47092
A,session_token_theft,userspace_semantic_plane,3,0.0,0.0,0.0,1.0,1.0,0.0,1.998,1.149,1.951322
A,session_token_theft,userspace_tamper_session,3,0.0,0.0,0.0,1.0,1.0,0.0,9.762,7.845,7.764072
B,cross_agent_ticket_reuse,mcpd,3,0.0,0.0,0.0,1.0,1.0,0.0,5.458,3.456,4.665144
B,cross_agent_ticket_reuse,userspace_semantic_plane,3,0.0,0.0,0.0,1.0,1.0,0.0,1.534667,1.37,0.497861
B,cross_agent_ticket_reuse,userspace_tamper_approval,3,1.0,1.0,0.0,0.0,0.0,0.0,388.249333,75.778,571.247997
B,cross_tool_ticket_reuse,mcpd,3,0.0,0.0,0.0,1.0,1.0,0.0,4.165333,2.849,3.465372
B,cross_tool_ticket_reuse,userspace_semantic_plane,3,0.0,0.0,0.0,1.0,1.0,0.0,1.742333,1.431,0.666016
B,cross_tool_ticket_reuse,userspace_tamper_approval,3,1.0,1.0,0.0,0.0,0.0,0.0,164.997333,84.221,161.511109
