mode,malicious_pct,runs,legit_throughput_rps_mean,legit_success_rate_mean,legit_p95_ms_mean,attack_acceptance_rate_mean
mcpd,0,3,424.155667,1.0,39.668,0.0
mcpd,5,3,456.744667,1.0,33.061333,0.0
mcpd,10,3,468.270333,1.0,35.291333,0.0
mcpd,20,3,455.056,1.0,33.990667,0.0
userspace_compromised,0,3,592.936667,1.0,23.585,0.0
userspace_compromised,5,3,367.436,1.0,44.343667,1.0
userspace_compromised,10,3,310.613,1.0,22.759333,1.0
userspace_compromised,20,3,113.097333,0.935028,9041.958333,0.96875
userspace_semantic_plane,0,3,549.302,1.0,29.685333,0.0
userspace_semantic_plane,5,3,479.355333,1.0,32.099,0.0
userspace_semantic_plane,10,3,517.202333,1.0,29.687333,0.0
userspace_semantic_plane,20,3,532.801,1.0,26.027333,0.0
