mode,attack_profile,malicious_pct,requests,concurrency,legit_throughput_rps,legit_success_rate,legit_p95_ms,attack_acceptance_rate,attack_count
mcpd,,0,150,8,507.383,1.0,29.062,0.0,0
mcpd,,5,150,8,474.47,1.0,37.21,0.0,8
mcpd,,10,150,8,396.342,1.0,49.937,0.0,16
mcpd,,20,150,8,342.999,1.0,47.375,0.0,32
userspace_semantic_plane,,0,150,8,388.991,1.0,47.522,0.0,0
userspace_semantic_plane,,5,150,8,252.69,1.0,49.818,0.0,8
userspace_semantic_plane,,10,150,8,466.794,1.0,32.796,0.0,16
userspace_semantic_plane,,20,150,8,461.129,1.0,28.531,0.0,32
userspace_compromised,compromised_userspace,0,150,8,524.548,1.0,25.362,0.0,0
userspace_compromised,compromised_userspace,5,150,8,181.462,1.0,97.875,1.0,8
userspace_compromised,compromised_userspace,10,150,8,406.859,1.0,25.881,1.0,16
userspace_compromised,compromised_userspace,20,150,8,5.348,0.940678,10221.74,0.96875,32
