scenario_group,attack_case,mode,attack_profile,status,decision,error,latency_ms,unauthorized_success,expected_reject,invariant_violated
A,fake_session_id,mcpd,,error,,session not found or expired,0.414,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.413,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.912,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,1.511,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.314,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.91,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.732,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.425,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.955,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.299,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.516,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.353,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.368,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.291,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.289,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.223,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.24,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.327,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.32,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.376,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.311,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,2.319,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.387,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,0.346,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.969,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.867,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.1,0,1,0
B,expired_ticket_replay,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,2.134,0,1,0
B,denied_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.773,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.85,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.873,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.814,0,1,0
B,expired_ticket_replay,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,1.022,0,1,0
B,denied_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,4.285,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,1.426,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,2.628,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,3.407,0,1,0
B,expired_ticket_replay,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,3.758,0,1,0
B,denied_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.411,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,2.871,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.973,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.765,0,1,0
B,expired_ticket_replay,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,1.018,0,1,0
B,denied_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.837,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,1.377,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.122,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.254,0,1,0
B,expired_ticket_replay,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,1.118,0,1,0
B,denied_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.247,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,1.733,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.751,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.811,0,1,0
B,expired_ticket_replay,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,1.09,0,1,0
B,denied_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.759,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.718,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.726,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.309,0,1,0
B,expired_ticket_replay,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.892,0,1,0
B,denied_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.646,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,1.67,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.199,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.211,0,1,0
B,expired_ticket_replay,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,1.02,0,1,0
B,denied_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.787,0,1,0
C,hash_mismatch,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,2.861,0,1,0
C,wrong_app_binding,mcpd,,error,,tool_id=2 does not belong to app_id=workspace_app (expected notes_app),0.705,0,1,0
C,stale_catalog_replay,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,0.719,0,1,0
C,hash_mismatch,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,0.832,0,1,0
C,wrong_app_binding,mcpd,,error,,tool_id=2 does not belong to app_id=workspace_app (expected notes_app),1.481,0,1,0
C,stale_catalog_replay,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,0.959,0,1,0
C,hash_mismatch,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,1.185,0,1,0
C,wrong_app_binding,mcpd,,error,,tool_id=2 does not belong to app_id=workspace_app (expected notes_app),1.853,0,1,0
C,stale_catalog_replay,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,0.707,0,1,0
C,hash_mismatch,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,0.737,0,1,0
C,wrong_app_binding,mcpd,,error,,tool_id=2 does not belong to app_id=workspace_app (expected notes_app),0.723,0,1,0
C,stale_catalog_replay,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,0.734,0,1,0
C,hash_mismatch,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,0.793,0,1,0
C,wrong_app_binding,mcpd,,error,,tool_id=2 does not belong to app_id=workspace_app (expected notes_app),0.706,0,1,0
C,stale_catalog_replay,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,1.262,0,1,0
C,hash_mismatch,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,2.246,0,1,0
C,wrong_app_binding,mcpd,,error,,tool_id=2 does not belong to app_id=workspace_app (expected notes_app),1.324,0,1,0
C,stale_catalog_replay,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,0.76,0,1,0
C,hash_mismatch,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,1.023,0,1,0
C,wrong_app_binding,mcpd,,error,,tool_id=2 does not belong to app_id=workspace_app (expected notes_app),1.014,0,1,0
C,stale_catalog_replay,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,0.966,0,1,0
C,hash_mismatch,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,0.902,0,1,0
C,wrong_app_binding,mcpd,,error,,tool_id=2 does not belong to app_id=workspace_app (expected notes_app),1.077,0,1,0
C,stale_catalog_replay,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,2.018,0,1,0
E,toctou_hash_mismatch_after_approval,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,0.734,0,1,0
E,toctou_tool_swap_after_approval,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.737,0,1,0
E,toctou_hash_mismatch_after_approval,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,1.021,0,1,0
E,toctou_tool_swap_after_approval,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.062,0,1,0
E,toctou_hash_mismatch_after_approval,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,0.781,0,1,0
E,toctou_tool_swap_after_approval,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.777,0,1,0
E,toctou_hash_mismatch_after_approval,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,0.72,0,1,0
E,toctou_tool_swap_after_approval,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.64,0,1,0
E,toctou_hash_mismatch_after_approval,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,0.713,0,1,0
E,toctou_tool_swap_after_approval,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.82,0,1,0
E,toctou_hash_mismatch_after_approval,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,0.664,0,1,0
E,toctou_tool_swap_after_approval,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.648,0,1,0
E,toctou_hash_mismatch_after_approval,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,0.65,0,1,0
E,toctou_tool_swap_after_approval,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.818,0,1,0
E,toctou_hash_mismatch_after_approval,mcpd,,error,DENY,kernel arbitration denied: hash_mismatch,0.658,0,1,0
E,toctou_tool_swap_after_approval,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.682,0,1,0
D,invalid_session_hash_bypass,mcpd,,error,,session not found or expired,0.148,0,1,0
D,approval_required_bypass,mcpd,,error,,session not found or expired,0.357,0,1,0
D,invalid_session_hash_bypass,mcpd,,error,,session not found or expired,0.309,0,1,0
D,approval_required_bypass,mcpd,,error,,session not found or expired,0.153,0,1,0
D,invalid_session_hash_bypass,mcpd,,error,,session not found or expired,0.135,0,1,0
D,approval_required_bypass,mcpd,,error,,session not found or expired,0.516,0,1,0
D,invalid_session_hash_bypass,mcpd,,error,,session not found or expired,0.139,0,1,0
D,approval_required_bypass,mcpd,,error,,session not found or expired,0.139,0,1,0
D,invalid_session_hash_bypass,mcpd,,error,,session not found or expired,0.128,0,1,0
D,approval_required_bypass,mcpd,,error,,session not found or expired,0.147,0,1,0
D,invalid_session_hash_bypass,mcpd,,error,,session not found or expired,0.659,0,1,0
D,approval_required_bypass,mcpd,,error,,session not found or expired,0.139,0,1,0
D,invalid_session_hash_bypass,mcpd,,error,,session not found or expired,0.126,0,1,0
D,approval_required_bypass,mcpd,,error,,session not found or expired,0.15,0,1,0
D,invalid_session_hash_bypass,mcpd,,error,,session not found or expired,0.129,0,1,0
D,approval_required_bypass,mcpd,,error,,session not found or expired,0.164,0,1,0
A,fake_session_id,userspace_semantic_plane,,error,,session not found or expired,0.256,0,1,0
A,expired_session,userspace_semantic_plane,,error,,session not found or expired,0.227,0,1,0
A,session_token_theft,userspace_semantic_plane,,error,,session is bound to a different peer identity,0.191,0,1,0
A,fake_session_id,userspace_semantic_plane,,error,,session not found or expired,0.193,0,1,0
A,expired_session,userspace_semantic_plane,,error,,session not found or expired,0.204,0,1,0
A,session_token_theft,userspace_semantic_plane,,error,,session is bound to a different peer identity,0.726,0,1,0
A,fake_session_id,userspace_semantic_plane,,error,,session not found or expired,0.882,0,1,0
A,expired_session,userspace_semantic_plane,,error,,session not found or expired,0.182,0,1,0
A,session_token_theft,userspace_semantic_plane,,error,,session is bound to a different peer identity,0.195,0,1,0
A,fake_session_id,userspace_semantic_plane,,error,,session not found or expired,0.206,0,1,0
A,expired_session,userspace_semantic_plane,,error,,session not found or expired,0.228,0,1,0
